T_MAPCODE,EOO,AOO
AT15,45.81732988,4
AT16,158.7300091,4
AT17,4479.418635,44
AT18,5899.127087,55
AT19,13147.0364,75
AT20,115.0750943,3
AT21,2323.501603,26
AT22,946.9844025,13
AT23,1798.098713,18
AT24,11841.27979,74
AT25,11432.27995,68
AT26,703.3072694,6
AT27,16538.17698,68
AT28,8464.25249,54
AT29,1803.9549,23
AT30,908.9116642,15
AT31,1244.820737,19
AT32,16791.80166,111
AT33,5402.44638,38
AT34,366.5261103,9
AT35,85.62771439,6
AT36,748.9482161,6
AT37,1753.357094,14
AT38,3614.052473,41
AT39,1200.282188,16
AT40,4454.141883,26
AT41,1716.529991,20
AT42,261.0963376,5
AT43,1224.867412,13
AT44,542.2675896,7
AT45,2150.323235,24
AT46,3798.219529,31
AT47,2080.270095,28
AT48,28.2881677,3
AT49,17378.90901,143
AT50,5641.342147,29
AT51,7144.44123,62
AT52,59.00719591,3
AT53,42.211326,3
AT54,3542.29472,17
AT55,1687.656616,20
AT56,1915.210447,30
AT57,2803.464089,11
AT58,7241.287773,70
AZa1,561.7953257,5
AZa2,11457.24672,34
AZa3,43030.96213,97
AZa4,43323.69605,113
AZa5,33725.68204,127
AZa6,12011.61527,53
AZa7,318531.5035,87
AZd1,73.51331765,0
AZd2,2742.359744,1
AZd3,191365.9833,39
AZd4,35488.77075,4
AZi1,37881.67528,195
AZi3,119497.816,143
AZi5,141946.9064,364
AZi6,78135.63103,335
AZi7,12014.88418,87
AZi8,5933.849228,28
AZs3,16493.61745,4
CB1,8594.854371,66
CB2,4918.309702,31
CB3,8437.213536,74
CB4,3086.329174,35
CB5,3870.636975,40
CB6,5845.995747,45
Dg1,477.8983176,8
Dg10,7836.013306,68
Dg2,509.760782,8
Dg3,859.4970252,13
Dg4,147.4507913,6
Dg5,869.2165362,14
Dg6,13.8777985,2
Dg7,294.9471668,5
Dg8,503.8998912,10
Dg9,6410.819074,50
Dn1,12.67384286,0
Dn2,1.378662051,0
Dn3,262.5722186,5
Dn4,386.1980345,8
Dn5,845.8349561,12
FFa1,887.8102549,12
FFa2,2080.24014,16
FFa3,2354.29011,21
FFa4,95.44640343,3
FFb1,8843.675429,53
FFb2,13057.50438,47
FFb3,6889.757159,36
FFb4,6731.781133,26
FFb5,4529.078702,35
FFb6,4361.308655,11
FFc1,3617.497062,34
FFd1,6299.96488,50
FFd10,400.3505995,7
FFd11,983.3356171,5
FFd2,5498.405133,47
FFd3,2228.450893,26
FFd4,2999.305885,26
FFd5,1632.336265,12
FFd6,1823.977395,9
FFd7,1247.806155,17
FFd8,858.792765,7
FFd9,2815.361154,27
FFf1,3002.170287,24
FFf2,108.751919,3
FFg1,652.4491809,7
FFg2,2695.816694,26
FFg3,417.5633165,5
FFg4,161.5855108,3
FFg5,913.7123884,15
FFh1,1717.98276,19
FFh10,2892.61647,29
FFh11,20.38625867,1
FFh2,436.1782593,10
FFh3,942.3442757,12
FFh4,3739.40539,26
FFh5,2187.982602,9
FFh6,1262.866847,12
FFh7,1052.033663,13
FFh8,2548.91743,15
FFh9,5140.617255,29
FFl1,1941.593189,19
FFl2,1679.06417,21
FFl3,2439.184831,26
FFq1,257.8622341,6
FFq2,3419.42712,39
FFq3,7718.464975,63
FFq4,1138.182575,12
FFq5,4626.252806,40
FFq6,3901.340334,42
FFs1,3631.899032,31
FFs10,2437.235578,27
FFs11,1667.08404,24
FFs12,3385.397108,37
FFs13,1515.09612,19
FFs14,1135.420239,15
FFs15,7923.451361,52
FFs16,5411.657559,53
FFs17,159.5605787,7
FFs18,1785.451017,26
FFs19,4173.596256,43
FFs2,5082.237246,53
FFs20,3079.756733,46
FFs21,1079.901515,18
FFs22,1177.078043,16
FFs23,4474.320015,43
FFs24,4384.958593,49
FFs25,709.679405,14
FFs26,592.6839483,12
FFs27,8603.635103,69
FFs28,10476.01296,102
FFs29,445.7764344,8
FFs3,2787.288284,25
FFs30,4707.702167,9
FFs31,1118.08715,11
FFs32,1307.54331,16
FFs4,4973.867617,53
FFs5,2233.630916,30
FFs6,856.7413311,13
FFs7,1029.757367,13
FFs8,787.3268006,14
FFs9,488.4404375,12
FFt1,1202.115011,22
FFt2,957.0193591,11
FOa1,78523.07413,34
FOa2,17901.17785,22
FOa3,38231.9017,4
FOz1,125260.6447,59
FOz2,181409.8919,61
FOz3,151896.5129,183
FOz4,47077.72723,50
FOz5,178728.6377,182
FOz6,51589.81548,14
FOz7,25652.53,82
FOz8,4701.764351,33
FOz9,40154.37645,19
FRa1,2225.363994,24
FRa2,723.0662765,8
FRc1,5168.441968,1
FRc2,6229.923698,10
FRd1,3622.143145,20
FRd2,2005.234376,24
FRg1,6593.15449,26
FRg2,3605.80829,29
FRg3,25.58366204,1
FRl1,1159.866766,19
FRs1,2154.65089,20
FRs10,44.58345309,1
FRs11,1846.579477,24
FRs12,4180.985879,33
FRs13,4591.980171,49
FRs14,1844.316858,24
