"","T_MAPCODE","A3_fin","A3_source","A3_prclost","A2b_fin","A2b_source","A2b_prclost50"
"1","AT15","LC","A3_nat",0,"LC","A2b",0
"2","AT16","LC","A3_nat",5,"LC","A2b",2
"3","AT17","LC","A3_nat",21,"LC","A2b",5
"4","AT18","LC","A3_nat",12,"LC","A2b",3
"5","AT19","LC","A3_nat",1,"LC","A2b",1
"6","AT20","LC","A3_nat, A3_nmb",48,"LC","A2b",16
"7","AT21","LC","A3_nat",20,"LC","A2b",5
"8","AT22","VU","A3_nat",57,"LC","A2b",24
"9","AT23","LC","A3_nat",14,"LC","A2b",2
"10","AT24","LC","A3_nat",13,"LC","A2b",2
"11","AT25","LC","A3_nat",1,"LC","A2b",1
"12","AT26","LC","A3_nat",25,"LC","A2b",11
"13","AT27","LC","A3_nat",1,"LC","A2b",0
"14","AT28","LC","A3_nat",12,"LC","A2b",2
"15","AT29","LC","A3_nat",2,"LC","A2b",1
"16","AT30","LC","A3_nat",7,"LC","A2b",2
"17","AT31","LC","A3_nat",13,"LC","A2b",2
"18","AT32","LC","A3_nat",4,"LC","A2b",2
"19","AT33","LC","A3_nat",2,"LC","A2b",1
"20","AT34","LC","A3_nat, A3_wc",4,"LC","A2b",2
"21","AT35","LC","A3_nat",39,"LC","A2b",9
"22","AT36","LC","A3_nat, A3_wc",37,"LC","A2b",18
"23","AT37","LC","A3_nat, A3_wc",37,"LC","A2b",21
"24","AT38","LC","A3_nat",34,"LC","A2b",10
"25","AT39","LC","A3_nat",12,"LC","A2b",6
"26","AT40","LC","A3_nat, A3_wc",18,"LC","A2b",12
"27","AT41","LC","A3_nat",32,"LC","A2b",9
"28","AT42","LC","A3_nat",14,"LC","A2b",8
"29","AT43","LC","A3_nat, A3_wc",6,"LC","A2b",3
"30","AT44","EN","A3_nmb",79,"VU","A2b",45
"31","AT45","LC","A3_nat",38,"LC","A2b",7
"32","AT46","LC","A3_nat, A3_wc",3,"LC","A2b",1
"33","AT47","LC","A3_nat",3,"LC","A2b",1
"34","AT48","VU","A3_nmb",63,"LC","A2b",8
"35","AT49","LC","A3_nat",2,"LC","A2b",1
"36","AT50","LC","A3_nat",11,"LC","A2b",3
"37","AT51","LC","A3_nat",14,"LC","A2b",8
"38","AT52","LC","A3_nat",31,"LC","A2b",8
"39","AT53","LC","A3_nat",39,"LC","A2b",24
"40","AT54","LC","A3_nat",2,"LC","A2b",1
"41","AT55","LC","A3_nat, A3_wc",3,"LC","A2b",2
"42","AT56","LC","A3_nat",34,"LC","A2b",10
"43","AT57","LC","A3_nat",23,"LC","A2b",9
"44","AT58","LC","A3_nat",1,"LC","A2b",1
"45","AZa1","LC","A3_nat, A3_wc",1,"LC","A2b",1
"46","AZa2","VU","A3_nat, A3_wc",62,"VU","A2b",41
"47","AZa3","LC","A3_nat",39,"LC","A2b",16
"48","AZa4","LC","A3_nat",30,"LC","A2b",13
"49","AZa5","LC","A3_nat",35,"LC","A2b",12
"50","AZa6","VU","A3_nat",56,"LC","A2b",24
"51","AZa7","LC","A3_nat",33,"LC","A2b",16
"52","AZd1","CR","A3_nat",95,"EN","A2b",75
"53","AZd2","LC","A3_nat",28,"LC","A2b",20
"54","AZd3","LC","A3_nat",2,"LC","A2b",1
"55","AZd4","LC","A3_nat",6,"LC","A2b",3
"56","AZi1","LC","A3_nat",12,"LC","A2b",4
"57","AZi3","LC","A3_nat",0,"LC","A2b",0
"58","AZi5","LC","A3_nat",7,"LC","A2b",2
"59","AZi6","LC","A3_nat",14,"LC","A2b",5
"60","AZi7","LC","A3_nat",7,"LC","A2b",1
"61","AZi8","VU","A3_nat, A3_wc",61,"VU","A2b",33
"62","AZs3","LC","A3_nat, A3_kzn",20,"LC","A2b",1
"63","CB1","VU","A3_nat, A3_kzn",64,"VU","A2b",32
"64","CB2","VU","A3_nat, A3_kzn",65,"VU","A2b",31
"65","CB3","EN","A3_nat, A3_kzn",82,"EN","A2b",63
"66","CB4","VU","A3_nat",51,"LC","A2b",15
"67","CB5","LC","A3_nat",46,"LC","A2b",18
"68","CB6","VU","A3_nat, A3_kzn",60,"LC","A2b",23
"69","Dg1","LC","A3_nat",1,"LC","A2b",1
"70","Dg10","LC","A3_nat",0,"LC","A2b",1
"71","Dg2","LC","A3_nat",0,"LC","A2b",0
"72","Dg3","LC","A3_nat",2,"LC","A2b",3
"73","Dg4","LC","A3_nat",1,"LC","A2b",0
"74","Dg5","LC","A3_nat",0,"LC","A2b",0
"75","Dg6","LC","A3_nat",1,"LC","A2b",2
"76","Dg7","LC","A3_nat",1,"LC","A2b",1
"77","Dg8","LC","A3_nat",0,"LC","A2b",0
"78","Dg9","LC","A3_nat",2,"LC","A2b",2
"79","Dn1","CR","A3_nat",92,"EN","A2b",61
"80","Dn2","LC","A3_nat",35,"VU","A2b",30
"81","Dn3","LC","A3_nat",12,"LC","A2b",6
"82","Dn4","LC","A3_nat",10,"LC","A2b",5
"83","Dn5","LC","A3_nat",8,"LC","A2b",3
"84","FFa1","EN","A3_nat",71,"VU","A2b",42
"85","FFa2","VU","A3_nat, A3_wc",62,"VU","A2b",44
"86","FFa3","EN","A3_nat",71,"VU","A2b",43
"87","FFa4","CR","A3_coct",96,"CR","A2b",95
"88","FFb1","LC","A3_nat, A3_wc",6,"LC","A2b",3
"89","FFb2","LC","A3_nat, A3_wc",2,"LC","A2b",1
"90","FFb3","LC","A3_nat, A3_wc",1,"LC","A2b",0
"91","FFb4","LC","A3_nat, A3_wc",12,"LC","A2b",4
"92","FFb5","LC","A3_nat",12,"LC","A2b",3
"93","FFb6","VU","A3_nat",62,"LC","A2b",24
"94","FFc1","VU","A3_nat, A3_wc",50,"LC","A2b",28
"95","FFd1","LC","A3_nat",15,"LC","A2b",3
"96","FFd10","EN","A3_nat, A3_wc",70,"VU","A2b",33
"97","FFd11","LC","A3_nat",22,"LC","A2b",12
"98","FFd2","VU","A3_nat, A3_wc",57,"VU","A2b",41
"99","FFd3","LC","A3_nat, A3_wc",30,"LC","A2b",15
"100","FFd4","VU","A3_nat",52,"LC","A2b",18
"101","FFd5","CR","A3_nat, A3_wc",70,"EN","A2b",76
"102","FFd6","LC","A3_nat, A3_wc",36,"LC","A2b",23
"103","FFd7","VU","A3_nat",52,"LC","A2b",16
"104","FFd8","VU","A3_nat, A3_wc",51,"LC","A2b",12
"105","FFd9","LC","A3_nat, A3_wc",41,"LC","A2b",17
"106","FFf1","VU","A3_nat, A3_wc",57,"LC","A2b",26
"107","FFf2","VU","A3_nat",52,"LC","A2b",13
"108","FFg1","LC","A3_nat",1,"LC","A2b",0
"109","FFg2","LC","A3_nat, A3_wc",36,"LC","A2b",21
"110","FFg3","VU","A3_nat, A3_coct",59,"LC","A2b",27
"111","FFg4","LC","A3_nat, A3_wc",14,"LC","A2b",6
"112","FFg5","VU","A3_nat, A3_wc",56,"VU","A2b",38
"113","FFh1","VU","A3_nat",54,"LC","A2b",21
"114","FFh10","LC","A3_nat",2,"LC","A2b",1
"115","FFh11","VU","A3_nat",58,"LC","A2b",19
"116","FFh2","LC","A3_nat, A3_wc",3,"LC","A2b",1
"117","FFh3","LC","A3_nat, A3_wc",9,"LC","A2b",5
"118","FFh4","LC","A3_nat, A3_wc",31,"LC","A2b",18
"119","FFh5","VU","A3_nat",57,"LC","A2b",22
"120","FFh6","EN","A3_nat",76,"EN","A2b",50
"121","FFh7","LC","A3_nat, A3_wc",40,"LC","A2b",16
"122","FFh8","LC","A3_nat, A3_wc",15,"LC","A2b",7
"123","FFh9","VU","A3_nat",57,"LC","A2b",28
"124","FFl1","LC","A3_nat, A3_wc",9,"LC","A2b",4
"125","FFl2","LC","A3_nat, A3_wc",4,"LC","A2b",2
"126","FFl3","LC","A3_nat, A3_wc",20,"LC","A2b",7
"127","FFq1","LC","A3_nat",0,"LC","A2b",0
"128","FFq2","LC","A3_nat, A3_wc",1,"LC","A2b",1
"129","FFq3","LC","A3_nat, A3_wc",1,"LC","A2b",0
"130","FFq4","LC","A3_nat, A3_wc",6,"LC","A2b",2
"131","FFq5","LC","A3_nat",0,"LC","A2b",0
"132","FFq6","LC","A3_nat",2,"LC","A2b",1
"133","FFs1","LC","A3_nat",21,"LC","A2b",9
"134","FFs10","LC","A3_nat, A3_wc",3,"LC","A2b",1
"135","FFs11","LC","A3_nat, A3_wc",9,"LC","A2b",3
"136","FFs12","LC","A3_nat, A3_wc",7,"LC","A2b",4
"137","FFs13","LC","A3_nat, A3_wc",2,"LC","A2b",1
"138","FFs14","LC","A3_nat, A3_wc",6,"LC","A2b",3
"139","FFs15","LC","A3_nat, A3_wc",7,"LC","A2b",3
"140","FFs16","LC","A3_nat, A3_wc",2,"LC","A2b",1
"141","FFs17","LC","A3_nat, A3_wc",5,"LC","A2b",2
"142","FFs18","LC","A3_nat, A3_wc",13,"LC","A2b",4
"143","FFs19","LC","A3_nat, A3_wc",23,"LC","A2b",8
"144","FFs2","LC","A3_nat, A3_wc",27,"LC","A2b",14
"145","FFs20","LC","A3_nat",32,"LC","A2b",9
"146","FFs21","LC","A3_nat, A3_wc",0,"LC","A2b",0
"147","FFs22","LC","A3_nat, A3_wc",0,"LC","A2b",0
"148","FFs23","LC","A3_nat, A3_wc",1,"LC","A2b",0
"149","FFs24","LC","A3_nat, A3_wc",0,"LC","A2b",0
"150","FFs25","LC","A3_nat, A3_wc",0,"LC","A2b",0
"151","FFs26","LC","A3_nat, A3_wc",5,"LC","A2b",2
"152","FFs27","LC","A3_nat",10,"LC","A2b",3
"153","FFs28","LC","A3_nat",9,"LC","A2b",2
"154","FFs29","VU","A3_nat, A3_nmb",65,"VU","A2b",31
"155","FFs3","LC","A3_nat, A3_wc",3,"LC","A2b",2
"156","FFs30","LC","A3_nat, A3_wc",0,"LC","A2b",0
"157","FFs31","LC","A3_nat, A3_wc",0,"LC","A2b",0
"158","FFs32","LC","A3_nat",35,"LC","A2b",22
"159","FFs4","LC","A3_nat, A3_wc",10,"LC","A2b",4
"160","FFs5","LC","A3_nat, A3_wc",5,"LC","A2b",2
"161","FFs6","LC","A3_nat, A3_wc",10,"LC","A2b",5
"162","FFs7","LC","A3_nat, A3_wc",5,"LC","A2b",2
"163","FFs8","LC","A3_nat, A3_wc",1,"LC","A2b",1
"164","FFs9","LC","A3_nat, A3_coct",6,"LC","A2b",2
"165","FFt1","LC","A3_nat, A3_wc",2,"LC","A2b",1
"166","FFt2","LC","A3_nat",14,"LC","A2b",2
"167","FOa1","LC","A3_nat",24,"LC","A2b",17
"168","FOa2","LC","A3_nat, A3_kzn",23,"LC","A2b",11
"169","FOa3","LC","A3_nat",14,"LC","A2b",8
"170","FOz1","LC","A3_nat",20,"LC","A2b",2
"171","FOz2","LC","A3_nat",15,"LC","A2b",3
"172","FOz3","LC","A3_nat",17,"LC","A2b",2
"173","FOz4","LC","A3_nat",26,"LC","A2b",1
"174","FOz5","LC","A3_nat",8,"LC","A2b",1
"175","FOz6","LC","A3_nat",19,"LC","A2b",3
"176","FOz7","LC","A3_nat, A3_kzn",25,"LC","A2b",13
"177","FOz8","LC","A3_nat, A3_kzn",9,"LC","A2b",4
"178","FOz9","LC","A3_nat",0,"LC","A2b",0
"179","FRa1","VU","A3_nat, A3_wc",57,"VU","A2b",41
"180","FRa2","LC","A3_nat, A3_wc",35,"LC","A2b",17
"181","FRc1","EN","A3_nat, A3_wc",80,"EN","A2b",60
"182","FRc2","EN","A3_nat, A3_wc",81,"EN","A2b",51
"183","FRd1","LC","A3_nat",10,"LC","A2b",4
