"","T_MAPCODE","RoD","B1i_rod","B2i_rod","B1i_inv","B2i_inv","B1iii_sp","B2iii_sp","B1_fin","B2_fin","B1_source","B2_source"
"1","AT15",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"2","AT16",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"3","AT17",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"4","AT18",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"5","AT19",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"6","AT20",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"7","AT21",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"8","AT22",0.5,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"9","AT23",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"10","AT24",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"11","AT25",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"12","AT26",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"13","AT27",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"14","AT28",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"15","AT29",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"16","AT30",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"17","AT31",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"18","AT32",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"19","AT33",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"20","AT34",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"21","AT35",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"22","AT36",0.4,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"23","AT37",0.4,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"24","AT38",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"25","AT39",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"26","AT40",0.2,"LC","LC","LC","LC","EN","VU","EN","VU","B1iii_sp","B2iii_sp"
