"","T_MAPCODE","T_BIOME","T_Name","RLE_EPL","RLE","Criteria_triggered","EPL"
"1","FFd7","Fynbos","Agulhas Sand Fynbos","CR_PP","CR","B1iii_sp","PP"
"2","AT34","Albany Thicket","Gamka Valley Thicket","LC_NP","LC","","NP"
"3","AT50","Albany Thicket","Sundays Mesic Thicket","LC_WP","LC","","WP"
"4","AT51","Albany Thicket","Sundays Valley Thicket","LC_MP","LC","","MP"
"5","AT36","Albany Thicket","Goukamma Dune Thicket","CR_WP","CR","B1i_rod","WP"
"6","FS13","Fynbos","Goukamma Strandveld","LC_WP","LC","","WP"
"7","AT40","Albany Thicket","Hartenbos Dune Thicket","EN_PP","EN","B1iii_sp","PP"
"8","FFl3","Fynbos","Canca Limestone Fynbos","LC_NP","LC","","NP"
"9","FFd9","Fynbos","Albertinia Sand Fynbos","EN_PP","EN","B1iii_sp","PP"
"10","FFd11","Fynbos","Southern Cape Dune Fynbos","CR_PP","CR","B1i_inv","PP"
"11","FFs20","Fynbos","Tsitsikamma Sandstone Fynbos","LC_WP","LC","","WP"
"12","AT57","Albany Thicket","St Francis Dune Thicket","EN_PP","EN","B1iii_sp, B2iii_sp","PP"
"13","AT54","Albany Thicket","Vanstadens Forest Thicket","LC_WP","LC","","WP"
"14","AT19","Albany Thicket","Baviaans Valley Thicket","LC_WP","LC","","WP"
"15","AT25","Albany Thicket","Eastern Gwarrieveld","LC_MP","LC","","MP"
"16","AT27","Albany Thicket","Escarpment Arid Thicket","LC_WP","LC","","WP"
"17","AT29","Albany Thicket","Escarpment Valley Thicket","LC_WP","LC","","WP"
"18","AT33","Albany Thicket","Gamka Arid Thicket","LC_PP","LC","","PP"
"19","AT43","Albany Thicket","Mons Ruber Fynbos Thicket","LC_NP","LC","","NP"
"20","AT46","Albany Thicket","Oudtshoorn Karroid Thicket","LC_WP","LC","","WP"
"21","AT49","Albany Thicket","Sundays Arid Thicket","VU_MP","VU","D3_step; D3_inv","MP"
"22","AT55","Albany Thicket","Western Gwarrieveld","LC_PP","LC","","PP"
"23","AT58","Albany Thicket","Willowmore Gwarrieveld","LC_NP","LC","","NP"
"24","AT26","Albany Thicket","Elands Forest Thicket","LC_PP","LC","","PP"
"25","AT37","Albany Thicket","Gouritz Valley Thicket","CR_NP","CR","B1i_rod","NP"
"26","FS14","Fynbos","St Francis Strandveld","CR_PP","CR","B1i_inv","PP"
"27","FRs19","Fynbos","Humansdorp Shale Renosterveld","EN_NP","EN","B1i_rod, B2i_rod","NP"
"28","AZa6","Azonal Vegetation","Albany Alluvial Vegetation","EN_PP","EN","B1i_rod","PP"
"29","AZd2","Azonal Vegetation","Namaqualand Seashore Vegetation","CR_PP","CR","B2i_rod","PP"
"30","AZd3","Azonal Vegetation","Cape Seashore Vegetation","LC_WP","LC","","WP"
"31","AZa2","Azonal Vegetation","Cape Lowland Alluvial Vegetation","EN_NP","EN","B1i_rod, B1i_inv","NP"
"32","AZi1","Azonal Vegetation","Namaqualand Riviere","LC_PP","LC","","PP"
"33","AZa1","Azonal Vegetation","Fynbos Riparian Vegetation","LC_WP","LC","","WP"
"34","AZi5","Azonal Vegetation","Bushmanland Vloere","LC_PP","LC","","PP"
"35","AZi6","Azonal Vegetation","Southern Karoo Riviere","LC_PP","LC","","PP"
"36","AZi7","Azonal Vegetation","Tanqua Wash Riviere","LC_MP","LC","","MP"
"37","AZi8","Azonal Vegetation","Muscadel Riviere","EN_NP","EN","B1i_rod","NP"
"38","FOz6","Forests","Southern Coastal Forest","LC_WP","LC","","WP"
"39","FOz1","Forests","Southern Afrotemperate Forest","LC_WP","LC","","WP"
"40","FFs19","Fynbos","South Outeniqua Sandstone Fynbos","LC_WP","LC","","WP"
"41","FFt2","Fynbos","Loerie Conglomerate Fynbos","LC_PP","LC","","PP"
"42","FFd2","Fynbos","Leipoldtville Sand Fynbos","EN_NP","EN","B1i_rod","NP"
"43","FFb4","Fynbos","Central Coastal Shale Band Vegetation","LC_WP","LC","","WP"
"44","FFs15","Fynbos","North Langeberg Sandstone Fynbos","LC_WP","LC","","WP"
"45","FFb2","Fynbos","Western Coastal Shale Band Vegetation","EN_WP","EN","B1iii_sp","WP"
"46","FFg2","Fynbos","Boland Granite Fynbos","EN_MP","EN","B1i_rod, B1iii_sp","MP"
"47","FRg2","Fynbos","Swartland Granite Renosterveld","EN_NP","EN","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp","NP"
"48","FFg5","Fynbos","Garden Route Granite Fynbos","CR_NP","CR","B1i_rod, B1i_inv","NP"
"49","FFd1","Fynbos","Namaqualand Sand Fynbos","LC_PP","LC","","PP"
"50","FFl1","Fynbos","Agulhas Limestone Fynbos","CR_PP","CR","B1i_inv, B1iii_sp","PP"
"51","FS7","Fynbos","Overberg Dune Strandveld","EN_MP","EN","B1i_inv, B1iii_sp, B2i_inv, B2iii_sp","MP"
"52","FFl2","Fynbos","De Hoop Limestone Fynbos","LC_MP","LC","","MP"
"53","FFs17","Fynbos","Potberg Sandstone Fynbos","CR_WP","CR","B1iii_sp","WP"
"54","FS9","Fynbos","Groot Brak Dune Strandveld","CR_NP","CR","B1i_rod, B1i_inv, B2i_rod, B2i_inv","NP"
"55","FFd6","Fynbos","Hangklip Sand Fynbos","CR_MP","CR","B1i_rod, B1iii_sp","MP"
"56","FFf1","Fynbos","Elim Ferricrete Fynbos","EN_PP","EN","B1i_rod, B1iii_sp","PP"
