"","T_MAPCODE","A3_fin","A3_prplost","A2b_fin","A2b_prplost50","B1_fin","B2_fin","RoD","D3_fin","D3_prpdeg","prp_invmax","RLE","Criteria_triggered","Criteria_used"
"1","AT15","LC",0.001780724343872,"LC",0.00128540872569725,"LC","LC",0,"LC",0.000548080348579102,0,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"2","AT16","LC",0.048436651465895,"LC",0.0153011952592179,"LC","LC",0,"LC",0,0.00729407717805992,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"3","AT17","LC",0.209081479116646,"LC",0.0521117215306813,"LC","LC",0.1,"LC",0.0266872653200654,0.0569594618025453,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"4","AT18","LC",0.11986820356588,"LC",0.0272336042378401,"LC","LC",0.1,"LC",0.16382708177057,0.0476148688560587,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"5","AT19","LC",0.014881981750627,"LC",0.00650401288685507,"LC","LC",0,"LC",0.187247237253032,0.0164475096870826,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"6","AT20","LC",0.482923697312397,"LC",0.155616953272711,"LC","LC",0.3,"LC",0.172377736629997,0.100071994240461,"LC","","A3_nat, A3_nmb, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_nmb"
"7","AT21","LC",0.195205468813906,"LC",0.0497682373896849,"LC","LC",0.1,"LC",0.0000911185317491134,0.0935291877454184,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"8","AT22","VU",0.571220671220671,"LC",0.24426439220728,"CR","EN",0.5,"LC",0.0450300312056103,0.0449625961072245,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_step"
"9","AT23","LC",0.137899077356545,"LC",0.0241859928307623,"LC","LC",0,"LC",0.000737856539607085,0.0000447294538980974,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"10","AT24","LC",0.127040078964165,"LC",0.0200010684968815,"LC","LC",0,"LC",0.00052095457802948,0.000353804304649832,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"11","AT25","LC",0.00927455098382002,"LC",0.00564130691109351,"LC","LC",0,"LC",0.0015846032329363,0.00236219979666421,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"12","AT26","LC",0.254639053020572,"LC",0.106126902832007,"CR","EN",0.2,"LC",0.0000098928603227051,0.317770265791741,"CR","B1i_invmax","A3_nat, A2b, B1i_invmax, B2i_invmax, D3_step"
"13","AT27","LC",0.00735947828802297,"LC",0.00455010918236855,"LC","LC",0,"LC",0.333232237885019,0.000907662779716451,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
