"","T_MAPCODE","A3_fin","A3_prclost","A2b_fin","A2b_prclost50","B1_fin","B2_fin","RoD","D3_fin","D3_prcdeg","prpinv_max","RLE","Criteria_triggered","Criteria_used","X1750","X2022","pnat_2022","ROD9022","prclost50_9022","expert_change"
"1","AT15","LC",0,"LC",0,"LC","LC",0,"LC",0,0.0281856354804183,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",14.6008,14.5748,0.998219275656128,0.00257081745139451,0,"RLE not adjusted"
"2","AT16","LC",5,"LC",2,"LC","LC",0,"LC",0,0.0192554256051035,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",53.7692,51.1648,0.951563348534105,0.030602390518436,2,"RLE not adjusted"
"3","AT17","LC",21,"LC",5,"LC","LC",0.1,"LC",3,0.0825571314630509,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",729.2028,576.74,0.790918520883354,0.104223443061363,5,"RLE not adjusted"
"4","AT18","LC",12,"LC",3,"LC","LC",0.1,"LC",16,0.0793810519349182,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",1175.6312,1034.7104,0.88013179643412,0.0544672084756802,3,"RLE not adjusted"
"5","AT19","LC",1,"LC",1,"LC","LC",0,"LC",19,0.0150706367820578,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",1077.8672,1061.8264,0.985118018249373,0.0130080257737102,1,"RLE not adjusted"
"6","AT20","LC",48,"LC",16,"LC","LC",0.3,"LC",17,0.0522558195344373,"LC","","A3_nat, A3_nmb, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_nmb; D3_inv",35.5164,20.0016,0.563165185660709,0.311233906545422,16,"RLE not adjusted"
"7","AT21","LC",20,"LC",5,"LC","LC",0.1,"LC",0,0.142048056980819,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",386.3068,310.8976,0.804794531186094,0.0995364747793697,5,"RLE not adjusted"
"8","AT22","VU",57,"LC",24,"CR","EN",0.5,"LC",5,0.0991679365519152,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_step; D3_inv",215.488,92.3968,0.428779328779329,0.48852878441456,24,"RLE not adjusted"
"9","AT23","LC",14,"LC",2,"LC","LC",0,"LC",0,4.47294538980974e-05,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",311.1928,268.2796,0.862100922643455,0.0483719856615246,2,"RLE not adjusted"
"10","AT24","LC",13,"LC",2,"LC","LC",0,"LC",0,0.00472955371389826,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",2976.1348,2598.0464,0.872959921035835,0.0400021369937631,2,"RLE not adjusted"
"11","AT25","LC",1,"LC",1,"LC","LC",0,"LC",0,0.00230132422386963,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",2128.9656,2109.2204,0.99072544901618,0.0112826138221869,1,"RLE not adjusted"
"12","AT26","LC",25,"LC",11,"LC","LC",0.2,"LC",0,0.264002121031352,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",40.4824,30.174,0.745360946979428,0.212253805664014,11,"RLE not adjusted"
"13","AT27","LC",1,"LC",0,"LC","LC",0,"LC",33,0.00532898469809895,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",1239.9792,1230.8536,0.992640521711977,0.00910021836473703,0,"RLE not adjusted"
"14","AT28","LC",12,"LC",2,"LC","LC",0,"LC",19,0.0395511279056453,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",1030.5104,908.232,0.881341905913807,0.0408524785974087,2,"RLE not adjusted"
"15","AT29","LC",2,"LC",1,"LC","LC",0,"LC",43,0.000875977793285906,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",784.614,768.056,0.978896629425424,0.0149433803643268,1,"RLE not adjusted"
"16","AT30","LC",7,"LC",2,"LC","LC",0,"LC",12,0.00538599411250715,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",674.0584,625.3256,0.927702406794426,0.0416455234030684,2,"RLE not adjusted"
"17","AT31","LC",13,"LC",2,"LC","LC",0,"LC",2,0.061045880987269,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",240.8016,210.196,0.872901176736367,0.0301714714867523,2,"RLE not adjusted"
"18","AT32","LC",4,"LC",2,"LC","LC",0,"LC",38,0.00771700482562029,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",3596.184,3450.6652,0.95953521844266,0.0343389546128351,2,"RLE not adjusted"
"19","AT33","LC",2,"LC",1,"LC","LC",0,"LC",25,0.00132542704532233,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",491.8056,484.0704,0.984271834236942,0.0155782498341199,1,"RLE not adjusted"
"20","AT34","LC",4,"LC",2,"LC","LC",0,"LC",7,0.00650939545010329,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_lk; D3_inv",167.5268,161.674,0.965063500287715,0.0353843679521737,2,"RLE not adjusted"
"21","AT35","LC",39,"LC",9,"LC","LC",0.2,"LC",0,0.0352446882619296,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",30.1476,18.3744,0.609481351749393,0.18231622319708,9,"RLE not adjusted"
"22","AT36","LC",37,"LC",18,"CR","EN",0.4,"LC",1,0.295359557054737,"CR","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, D3_step; D3_inv",51.4116,29.7644,0.578943273502478,0.351020554236702,18,"RLE not adjusted"
"23","AT37","LC",37,"LC",21,"CR","EN",0.4,"LC",1,0.09982737695897,"CR","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, D3_step; D3_inv",176.6464,106.1272,0.600788920691279,0.417072198888243,21,"RLE not adjusted"
