MapCode,TH_Taxa,FIRE_Taxa,INV_Taxa,OVG_Taxa,TH_Taxa_km2,Nat2022km2,pro_FIRE,pro_INV,pro_OVG,EOOkm2,AOO1prc,Qualify,B1iii,B2iii
AT15,3,1,1,2,0.205761317,14.58,0.333333333,0.333333333,0.666666667,45.81732988,4,0,LC,LC
AT16,5,2,2,5,0.097732604,51.16,0.4,0.4,1,158.7300091,4,0,LC,LC
AT17,5,1,1,4,0.008672576,576.53,0.2,0.2,0.8,4479.418635,44,0,LC,LC
AT18,4,0,1,3,0.003865967,1034.67,0,0.25,0.75,5899.127087,55,0,LC,LC
AT19,7,1,2,4,0.006591834,1061.92,0.142857143,0.285714286,0.571428571,13147.0364,75,0,LC,LC
AT20,13,6,8,5,0.651629073,19.95,0.461538462,0.615384615,0.384615385,115.0750943,3,0,LC,LC
AT21,3,1,1,1,0.009649095,310.91,0.333333333,0.333333333,0.333333333,2323.501603,26,0,LC,LC
AT22,3,0,0,1,0.032449973,92.45,0,0,0.333333333,946.9844025,13,0,LC,LC
AT23,1,0,0,0,0.003727727,268.26,0,0,0,1798.098713,18,0,LC,LC
AT24,5,2,1,3,0.00192455,2598.01,0.4,0.2,0.6,11841.27979,74,0,LC,LC
AT25,2,0,0,2,0.000948213,2109.23,0,0,1,11432.27995,68,0,LC,LC
AT26,1,0,1,0,0.033211558,30.11,0,1,0,703.3072694,6,0,LC,LC
AT27,0,0,0,0,0,1230.82,0,0,0,16538.17698,68,0,LC,LC
AT28,0,0,0,0,0,908.16,0,0,0,8464.25249,54,0,LC,LC
AT29,0,0,0,0,0,768.05,0,0,0,1803.9549,23,0,LC,LC
AT30,3,0,0,2,0.00479762,625.31,0,0,0.666666667,908.9116642,15,0,LC,LC
AT31,0,0,0,0,0,210.14,0,0,0,1244.820737,19,0,LC,LC
AT32,5,2,2,4,0.00144899,3450.68,0.4,0.4,0.8,16791.80166,111,0,LC,LC
AT33,6,0,0,6,0.012395158,484.06,0,0,1,5402.44638,38,0,LC,LC
AT34,10,3,6,1,0.061850569,161.68,0.3,0.6,0.1,366.5261103,9,0,LC,LC
AT35,0,0,0,0,0,18.39,0,0,0,85.62771439,6,0,LC,LC
AT36,29,15,27,4,0.974135035,29.77,0.517241379,0.931034483,0.137931034,748.9482161,6,0,LC,LC
AT37,6,1,5,1,0.056545095,106.11,0.166666667,0.833333333,0.166666667,1753.357094,14,0,LC,LC
AT38,12,4,4,8,0.01411964,849.88,0.333333333,0.333333333,0.666666667,3614.052473,41,0,LC,LC
AT39,19,6,14,10,0.087553569,217.01,0.315789474,0.736842105,0.526315789,1200.282188,16,0,LC,LC
AT40,96,23,91,21,0.20727626,463.15,0.239583333,0.947916667,0.21875,4454.141883,26,1,EN,VU
AT41,12,7,9,4,0.05770063,207.97,0.583333333,0.75,0.333333333,1716.529991,20,0,LC,LC
AT42,3,0,0,3,0.05800464,51.72,0,0,1,261.0963376,5,0,LC,LC
AT43,6,0,3,3,0.022570816,265.83,0,0.5,0.5,1224.867412,13,0,LC,LC
AT44,15,6,13,10,0.23715415,63.25,0.4,0.866666667,0.666666667,542.2675896,7,0,LC,LC
AT45,6,2,3,2,0.013935664,430.55,0.333333333,0.5,0.333333333,2150.323235,24,0,LC,LC
AT46,18,3,3,14,0.032607514,552.02,0.166666667,0.166666667,0.777777778,3798.219529,31,0,LC,LC
AT47,5,1,2,3,0.005642577,886.12,0.2,0.4,0.6,2080.270095,28,0,LC,LC
AT48,2,2,2,0,0.170940171,11.7,1,1,0,28.2881677,3,0,LC,LC
AT49,5,0,2,3,0.000905154,5523.92,0,0.4,0.6,17378.90901,143,0,LC,LC
AT50,18,9,15,7,0.034931786,515.29,0.5,0.833333333,0.388888889,5641.342147,29,0,LC,LC
AT51,32,7,21,17,0.018894885,1693.58,0.21875,0.65625,0.53125,7144.44123,62,0,LC,LC
AT52,0,0,0,0,0,30.23,0,0,0,59.00719591,3,0,LC,LC
AT53,3,0,0,1,0.181268882,16.55,0,0,0.333333333,42.211326,3,0,LC,LC
AT54,3,0,3,1,0.016221477,184.94,0,1,0.333333333,3542.29472,17,0,LC,LC
AT55,6,1,2,5,0.008090615,741.6,0.166666667,0.333333333,0.833333333,1687.656616,20,0,LC,LC
AT56,9,4,4,4,0.019307918,466.13,0.444444444,0.444444444,0.444444444,1915.210447,30,0,LC,LC
AT57,30,16,27,4,0.284441073,105.47,0.533333333,0.9,0.133333333,2803.464089,11,1,EN,EN
AT58,4,0,1,3,0.001800796,2221.24,0,0.25,0.75,7241.287773,70,0,LC,LC
AZa1,1,0,0,1,0.054975261,18.19,0,0,1,561.7953257,5,0,LC,LC
AZa2,20,8,17,12,0.172131853,116.19,0.4,0.85,0.6,11457.24672,34,0,LC,LC
AZa3,12,0,0,9,0.022600998,530.95,0,0,0.75,43030.96213,97,0,LC,LC
AZa4,1,0,0,1,0.000801199,1248.13,0,0,1,43323.69605,113,0,LC,LC
AZa5,1,0,0,0,0.000474674,2106.71,0,0,0,33725.68204,127,0,LC,LC
AZa6,19,4,13,9,0.066398742,286.15,0.210526316,0.684210526,0.473684211,12011.61527,53,0,LC,LC
AZa7,1,0,0,0,0.001163589,859.41,0,0,0,318531.5035,87,0,LC,LC
AZd1,2,0,0,1,6.25,0.32,0,0,0.5,73.51331765,0,0,LC,LC
AZd2,6,0,0,2,0.631578947,9.5,0,0,0.333333333,2742.359744,1,0,LC,LC
AZd3,15,1,8,4,0.069705841,215.19,0.066666667,0.533333333,0.266666667,191365.9833,39,0,LC,LC
AZd4,5,0,2,1,0.189393939,26.4,0,0.4,0.2,35488.77075,4,0,LC,LC
AZi1,10,0,1,1,0.008332917,1200.06,0,0.1,0.1,37881.67528,195,0,LC,LC
AZi3,0,0,0,0,0,1914.65,0,0,0,119497.816,143,0,LC,LC
AZi5,0,0,0,0,0,4815.02,0,0,0,141946.9064,364,0,LC,LC
AZi6,9,0,0,8,0.001984613,4534.89,0,0,0.888888889,78135.63103,335,0,LC,LC
AZi7,2,0,0,2,0.001008273,1983.59,0,0,1,12014.88418,87,0,LC,LC
AZi8,12,0,0,5,0.083484068,143.74,0,0,0.416666667,5933.849228,28,0,LC,LC
AZs3,5,0,1,1,0.416666667,12,0,0.2,0.2,16493.61745,4,0,LC,LC
CB1,19,7,10,11,0.022811314,832.92,0.368421053,0.526315789,0.578947368,8594.854371,66,0,LC,LC
CB2,14,3,6,9,0.034917072,400.95,0.214285714,0.428571429,0.642857143,4918.309702,31,0,LC,LC
CB3,39,19,26,25,0.05799084,672.52,0.487179487,0.666666667,0.641025641,8437.213536,74,0,LC,LC
CB4,57,39,40,37,0.08890414,641.14,0.684210526,0.701754386,0.649122807,3086.329174,35,0,LC,LC
CB5,6,2,3,3,0.006672227,899.25,0.333333333,0.5,0.5,3870.636975,40,0,LC,LC
CB6,7,4,5,4,0.017013003,411.45,0.571428571,0.714285714,0.571428571,5845.995747,45,0,LC,LC
Dg1,21,0,1,18,0.063080112,332.91,0,0.047619048,0.857142857,477.8983176,8,0,LC,LC
Dg10,5,0,0,2,0.002398852,2084.33,0,0,0.4,7836.013306,68,0,LC,LC
Dg2,7,0,0,7,0.019369656,361.39,0,0,1,509.760782,8,0,LC,LC
Dg3,5,0,0,5,0.031952965,156.48,0,0,1,859.4970252,13,0,LC,LC
Dg4,0,0,0,0,0,107.18,0,0,0,147.4507913,6,0,LC,LC
Dg5,10,0,0,6,0.016893604,591.94,0,0,0.6,869.2165362,14,0,LC,LC
