VegCode,Threat,SubThreat,SubSubThreat,NATIONAL STATUS,Taxon
FOz5,Habitat degradation,Fires,Too frequent fires,EN,Empogona africana
FOz5,Harvesting [gathering],Fuel,,EN,Empogona africana
FOz1,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz1,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz1,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz1,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz1,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz2,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz2,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz2,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz2,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz2,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz3,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz3,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz3,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz3,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz3,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz4,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz4,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz4,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz4,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz4,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz5,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz5,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz5,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz5,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz5,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
