"","...1","LC","T_MAPCODE","IAT","IAT_cert","n","km2"
"1",9,1,"AT16",1,0,8,8e-04
"2",17,1,"AT17",1,0,2068,0.2068
"3",18,2,"AT17",1,0,49,0.0049
"4",20,4,"AT17",1,0,76,0.0076
"5",21,5,"AT17",1,0,20,0.002
"6",23,7,"AT17",1,0,16,0.0016
"7",25,1,"AT18",1,0,505,0.0505
"8",26,2,"AT18",1,0,12,0.0012
"9",33,1,"AT19",1,0,169,0.0169
"10",73,1,"AT25",1,0,2,2e-04
"11",81,1,"AT26",1,0,179,0.0179
"12",82,2,"AT26",1,0,3,3e-04
"13",84,4,"AT26",1,0,1,1e-04
"14",85,5,"AT26",1,0,1,1e-04
"15",113,1,"AT30",1,0,3,3e-04
"16",121,1,"AT31",1,0,73,0.0073
"17",122,2,"AT31",1,0,26,0.0026
"18",125,5,"AT31",1,0,7,7e-04
"19",129,1,"AT32",1,0,200,0.02
"20",130,2,"AT32",1,0,5,5e-04
"21",137,1,"AT33",1,0,2,2e-04
"22",138,2,"AT33",1,0,2,2e-04
"23",153,1,"AT35",1,0,106,0.0106
"24",154,2,"AT35",1,0,26,0.0026
"25",157,5,"AT35",1,0,25,0.0025
"26",161,1,"AT36",1,0,212,0.0212
"27",162,2,"AT36",1,0,24,0.0024
"28",164,4,"AT36",1,0,217,0.0217
"29",167,7,"AT36",1,0,238,0.0238
"30",169,1,"AT37",1,0,158,0.0158
"31",170,2,"AT37",1,0,10,0.001
"32",172,4,"AT37",1,0,5,5e-04
"33",173,5,"AT37",1,0,7,7e-04
"34",177,1,"AT38",1,0,639,0.0639
"35",178,2,"AT38",1,0,122,0.0122
"36",180,4,"AT38",1,0,77,0.0077
"37",181,5,"AT38",1,0,97,0.0097
"38",183,7,"AT38",1,0,173,0.0173
"39",185,1,"AT39",1,0,14,0.0014
"40",186,2,"AT39",1,0,1,1e-04
"41",188,4,"AT39",1,0,1,1e-04
"42",193,1,"AT40",1,0,251,0.0251
"43",194,2,"AT40",1,0,75,0.0075
"44",196,4,"AT40",1,0,109,0.0109
"45",201,1,"AT41",1,0,2346,0.2346
"46",202,2,"AT41",1,0,34,0.0034
"47",204,4,"AT41",1,0,238,0.0238
"48",205,5,"AT41",1,0,35,0.0035
"49",207,7,"AT41",1,0,2,2e-04
"50",225,1,"AT44",1,0,23,0.0023
"51",226,2,"AT44",1,0,1,1e-04
"52",228,4,"AT44",1,0,1,1e-04
"53",233,1,"AT45",1,0,160,0.016
"54",234,2,"AT45",1,0,285,0.0285
"55",236,4,"AT45",1,0,4,4e-04
"56",237,5,"AT45",1,0,73,0.0073
"57",239,7,"AT45",1,0,57,0.0057
"58",249,1,"AT47",1,0,36,0.0036
"59",265,1,"AT49",1,0,24,0.0024
"60",266,2,"AT49",1,0,2,2e-04
"61",273,1,"AT50",1,0,1061,0.1061
"62",274,2,"AT50",1,0,188,0.0188
"63",276,4,"AT50",1,0,98,0.0098
"64",277,5,"AT50",1,0,44,0.0044
"65",281,1,"AT51",1,0,412,0.0412
"66",282,2,"AT51",1,0,185,0.0185
"67",284,4,"AT51",1,0,10,0.001
"68",285,5,"AT51",1,0,24,0.0024
"69",289,1,"AT52",1,0,550,0.055
"70",290,2,"AT52",1,0,5,5e-04
"71",292,4,"AT52",1,0,1,1e-04
"72",293,5,"AT52",1,0,2,2e-04
"73",297,1,"AT54",1,0,86,0.0086
"74",313,1,"AT56",1,0,1,1e-04
"75",321,1,"AT57",1,0,5303,0.5303
"76",322,2,"AT57",1,0,231,0.0231
"77",324,4,"AT57",1,0,127,0.0127
"78",325,5,"AT57",1,0,226,0.0226
"79",327,7,"AT57",1,0,432,0.0432
"80",345,1,"AZa2",1,0,34,0.0034
"81",346,2,"AZa2",1,0,4,4e-04
"82",348,4,"AZa2",1,0,10,0.001
"83",349,5,"AZa2",1,0,4,4e-04
"84",353,1,"AZa6",1,0,90,0.009
"85",354,2,"AZa6",1,0,6,6e-04
"86",356,4,"AZa6",1,0,35,0.0035
"87",357,5,"AZa6",1,0,40,0.004
"88",369,1,"AZd3",1,0,306,0.0306
"89",370,2,"AZd3",1,0,4,4e-04
"90",372,4,"AZd3",1,0,5,5e-04
"91",377,1,"AZi1",1,0,10,0.001
"92",378,2,"AZi1",1,0,2,2e-04
"93",381,5,"AZi1",1,0,1,1e-04
"94",393,1,"AZi6",1,0,11,0.0011
"95",394,2,"AZi6",1,0,2,2e-04
"96",397,5,"AZi6",1,0,6,6e-04
"97",401,1,"AZi7",1,0,1,1e-04
"98",489,1,"FFb6",1,0,3,3e-04
"99",490,2,"FFb6",1,0,1,1e-04
"100",497,1,"FFc1",1,0,6,6e-04
"101",513,1,"FFd10",1,0,183,0.0183
"102",514,2,"FFd10",1,0,12,0.0012
"103",516,4,"FFd10",1,0,92,0.0092
"104",517,5,"FFd10",1,0,2,2e-04
"105",519,7,"FFd10",1,0,271,0.0271
"106",521,1,"FFd11",1,0,28,0.0028
"107",522,2,"FFd11",1,0,3,3e-04
"108",524,4,"FFd11",1,0,27,0.0027
"109",529,1,"FFd2",1,0,13,0.0013
"110",530,2,"FFd2",1,0,12,0.0012
"111",532,4,"FFd2",1,0,3,3e-04
"112",535,7,"FFd2",1,0,14,0.0014
"113",537,1,"FFd3",1,0,33,0.0033
"114",538,2,"FFd3",1,0,1,1e-04
"115",540,4,"FFd3",1,0,1,1e-04
"116",553,1,"FFd5",1,0,4,4e-04
"117",554,2,"FFd5",1,0,1,1e-04
"118",556,4,"FFd5",1,0,23,0.0023
"119",561,1,"FFd6",1,0,365,0.0365
"120",562,2,"FFd6",1,0,10,0.001
"121",564,4,"FFd6",1,0,126,0.0126
"122",569,1,"FFd7",1,0,416,0.0416
"123",570,2,"FFd7",1,0,25,0.0025
"124",572,4,"FFd7",1,0,3,3e-04
"125",573,5,"FFd7",1,0,14,0.0014
"126",575,7,"FFd7",1,0,5,5e-04
"127",588,4,"FFd9",1,0,3,3e-04
"128",593,1,"FFf1",1,0,316,0.0316
"129",594,2,"FFf1",1,0,122,0.0122
"130",596,4,"FFf1",1,0,7,7e-04
"131",597,5,"FFf1",1,0,37,0.0037
"132",599,7,"FFf1",1,0,86,0.0086
"133",601,1,"FFf2",1,0,308,0.0308
"134",602,2,"FFf2",1,0,18,0.0018
"135",604,4,"FFf2",1,0,6,6e-04
"136",617,1,"FFg3",1,0,99,0.0099
"137",618,2,"FFg3",1,0,24,0.0024
"138",620,4,"FFg3",1,0,53,0.0053
"139",623,7,"FFg3",1,0,21,0.0021
"140",633,1,"FFg5",1,0,167,0.0167
"141",634,2,"FFg5",1,0,7,7e-04
"142",636,4,"FFg5",1,0,42,0.0042
"143",637,5,"FFg5",1,0,1,1e-04
"144",649,1,"FFh10",1,0,121,0.0121
"145",650,2,"FFh10",1,0,1,1e-04
"146",652,4,"FFh10",1,0,2,2e-04
"147",721,1,"FFh9",1,0,339,0.0339
"148",722,2,"FFh9",1,0,45,0.0045
"149",724,4,"FFh9",1,0,98,0.0098
