"","LC","YEAR","BIOME","T_MAPCODE","km2"
"1","nat",1750,"Albany Thicket","AT15",14.6008
"2","nat",1750,"Albany Thicket","AT16",53.7692
"3","nat",1750,"Albany Thicket","AT17",729.2028
"4","nat",1750,"Albany Thicket","AT18",1175.6312
"5","nat",1750,"Albany Thicket","AT19",1077.8672
"6","nat",1750,"Albany Thicket","AT20",35.5164
"7","nat",1750,"Albany Thicket","AT21",386.3068
"8","nat",1750,"Albany Thicket","AT22",215.488
"9","nat",1750,"Albany Thicket","AT23",311.1928
"10","nat",1750,"Albany Thicket","AT24",2976.1348
"11","nat",1750,"Albany Thicket","AT25",2128.9656
"12","nat",1750,"Albany Thicket","AT26",40.4824
"13","nat",1750,"Albany Thicket","AT27",1239.9792
"14","nat",1750,"Albany Thicket","AT28",1030.5104
"15","nat",1750,"Albany Thicket","AT29",784.614
"16","nat",1750,"Albany Thicket","AT30",674.0584
"17","nat",1750,"Albany Thicket","AT31",240.8016
"18","nat",1750,"Albany Thicket","AT32",3596.184
"19","nat",1750,"Albany Thicket","AT33",491.8056
"20","nat",1750,"Albany Thicket","AT34",167.5268
"21","nat",1750,"Albany Thicket","AT35",30.1476
"22","nat",1750,"Albany Thicket","AT36",51.4116
"23","nat",1750,"Albany Thicket","AT37",176.6464
"24","nat",1750,"Albany Thicket","AT38",1290.854
"25","nat",1750,"Albany Thicket","AT39",245.8596
"26","nat",1750,"Albany Thicket","AT40",596.3172
"27","nat",1750,"Albany Thicket","AT41",307.5216
"28","nat",1750,"Albany Thicket","AT42",59.8564
"29","nat",1750,"Albany Thicket","AT43",286.2032
"30","nat",1750,"Albany Thicket","AT44",163.4576
"31","nat",1750,"Albany Thicket","AT45",697.0252
"32","nat",1750,"Albany Thicket","AT46",571.8576
"33","nat",1750,"Albany Thicket","AT47",910.5756
"34","nat",1750,"Albany Thicket","AT48",20.3768
"35","nat",1750,"Albany Thicket","AT49",5647.1168
"36","nat",1750,"Albany Thicket","AT50",577.5424
"37","nat",1750,"Albany Thicket","AT51",1963.4028
"38","nat",1750,"Albany Thicket","AT52",43.5968
"39","nat",1750,"Albany Thicket","AT53",27.1028
"40","nat",1750,"Albany Thicket","AT54",187.7204
"41","nat",1750,"Albany Thicket","AT55",760.3872
"42","nat",1750,"Albany Thicket","AT56",701.6176
"43","nat",1750,"Albany Thicket","AT57",137.0648
"44","nat",1750,"Albany Thicket","AT58",2252.3448
"45","nat",1750,"Azonal","AZa1",18.7044
"46","nat",1750,"Azonal","AZa2",350.796
"47","nat",1750,"Azonal","AZa3",867.5872
"48","nat",1750,"Azonal","AZa4",1787.3464
"49","nat",1750,"Azonal","AZa5",3235.1676
"50","nat",1750,"Azonal","AZa6",653.4064
"51","nat",1750,"Azonal","AZa7",1274.7652
"52","nat",1750,"Azonal","AZd1",6.4404
"53","nat",1750,"Azonal","AZd2",13.216
"54","nat",1750,"Azonal","AZd3",220.1216
"55","nat",1750,"Azonal","AZd4",28.0788
"56","nat",1750,"Azonal","AZi1",1363.9048
"57","nat",1750,"Azonal","AZi3",1919.2856
"58","nat",1750,"Azonal","AZi5",5176.9952
"59","nat",1750,"Azonal","AZi6",5302.936
"60","nat",1750,"Azonal","AZi7",2130.1056
"61","nat",1750,"Azonal","AZi8",407.1792
"62","nat",1750,"Azonal","AZs3",12.9664
"63","nat",1750,"Desert","Dg1",335.9332
"64","nat",1750,"Desert","Dg10",2094.648
"65","nat",1750,"Desert","Dg2",361.43
"66","nat",1750,"Desert","Dg3",160.0684
"67","nat",1750,"Desert","Dg4",107.7996
"68","nat",1750,"Desert","Dg5",592.286
"69","nat",1750,"Desert","Dg6",8.2236
"70","nat",1750,"Desert","Dg7",247.0048
"71","nat",1750,"Desert","Dg8",343.1992
"72","nat",1750,"Desert","Dg9",1217.99
"73","nat",1750,"Desert","Dn1",17.0928
"74","nat",1750,"Desert","Dn2",1.5428
"75","nat",1750,"Desert","Dn3",139.9224
"76","nat",1750,"Desert","Dn4",217.0148
"77","nat",1750,"Desert","Dn5",418.2756
"78","nat",1750,"Forest","FOa1",176.5124
"79","nat",1750,"Forest","FOa2",100.4988
"80","nat",1750,"Forest","FOa3",23.8196
"81","nat",1750,"Forest","FOz1",788.0828
"82","nat",1750,"Forest","FOz2",214.0732
"83","nat",1750,"Forest","FOz3",1062.2748
"84","nat",1750,"Forest","FOz4",389.3584
"85","nat",1750,"Forest","FOz5",1029.478
"86","nat",1750,"Forest","FOz6",185.2344
"87","nat",1750,"Forest","FOz7",680.3208
"88","nat",1750,"Forest","FOz8",265.4308
"89","nat",1750,"Forest","FOz9",81.6428
"90","nat",1750,"Fynbos","FFa1",180.0652
"91","nat",1750,"Fynbos","FFa2",501.6496
"92","nat",1750,"Fynbos","FFa3",477.154
"93","nat",1750,"Fynbos","FFa4",35.8392
"94","nat",1750,"Fynbos","FFb1",279.0688
"95","nat",1750,"Fynbos","FFb2",134.5308
"96","nat",1750,"Fynbos","FFb3",97.8776
"97","nat",1750,"Fynbos","FFb4",61.9624
"98","nat",1750,"Fynbos","FFb5",108.3896
"99","nat",1750,"Fynbos","FFb6",78.0444
"100","nat",1750,"Fynbos","FFc1",869.1648
"101","nat",1750,"Fynbos","FFd1",1300.9768
"102","nat",1750,"Fynbos","FFd10",151.6788
"103","nat",1750,"Fynbos","FFd11",76.61
