"","T_MAPCODE","1750","1990","2014","2018","2020","2022","pnat_1990","pnat_2014","pnat_2018","pnat_2020","pnat_2022","ARD9022","ARD9014","ARD1422","ARD1822","ROD9022","ROD9014","ROD1422","ROD1822","nat_2040_ard9022","nat_2040_ard9014","nat_2040_ard1422","nat_2040_ard1822","pred2040lm","pred2040poly","pred2040spline","prclost50_9022","prclost50_9014","prclost50_1422","prclost50_1822","prclost50_lm","prclost50_poly","prclost50_spline","A2b_9022","A2b_9014","A2b_1422","A2b_1822","A2b_lm","A2b_poly","A2b_spline"
"1","AT15",14.6008,14.5868,14.5868,14.5808,14.5756,14.5748,0.999041148430223,0.999041148430223,0.998630212043176,0.998274067174401,0.998219275656128,0.000375000000000014,0,0.00150000000000006,0.00150000000000006,0.00257081745139451,0,0.010283269805578,0.010283269805578,14.56805,14.5868,14.5118,14.5118,14.5721327102804,14.5221405515417,14.5787382165605,0,0,1,1,0,0,0,"LC","LC","LC","LC","LC","LC","LC"
"2","AT16",53.7692,51.6708,51.5376,51.228,51.1812,51.1648,0.960973940471497,0.958496685835013,0.95273874262589,0.95186835586172,0.951563348534105,0.0158125,0.00555000000000009,0.0465999999999998,0.0158000000000005,0.030602390518436,0.0107410761977753,0.090419421936605,0.0306572288969616,50.880175,51.3933,49.3408,50.8808,50.9337551401869,49.7020425062675,51.041193312102,2,1,5,2,1,4,1,"LC","LC","LC","LC","LC","LC","LC"
"3","AT17",729.2028,596.6388,583.9288,577.5332,576.8664,576.74,0.81820695148181,0.800776958069826,0.79200628412288,0.791091860865043,0.790918520883354,0.621837499999998,0.52958333333333,0.898600000000002,0.198299999999989,0.104223443061363,0.0887611287320453,0.153888624777542,0.0339596197344589,565.546925,570.159633333333,551.7088,586.7238,564.863558878504,554.845300172993,575.795589490446,5,4,8,2,5,7,3,"LC","LC","LC","LC","LC","LC","LC"
"4","AT18",1175.6312,1053.0648,1042.0532,1036.318,1035.1504,1034.7104,0.895744175554375,0.886377632713388,0.881499232072099,0.880506063466162,0.88013179643412,0.573575000000005,0.458816666666668,0.917850000000016,0.401900000000012,0.0544672084756802,0.0435696518074356,0.0880809156384737,0.0385680884622793,1024.38605,1030.12396666667,1007.1723,1032.9698,1024.44533084112,1010.94650325541,1031.72243535032,3,2,4,2,3,4,2,"LC","LC","LC","LC","LC","LC","LC"
"5","AT19",1077.8672,1066.2648,1064.7868,1062.4632,1061.9932,1061.8264,0.989235779695309,0.987864553258509,0.985708814592373,0.985272768296503,0.985118018249373,0.1387,0.0615833333333266,0.37005000000002,0.159199999999998,0.0130080257737102,0.00577561346237132,0.0347534360869256,0.0149513498852539,1059.3298,1063.18563333333,1047.7623,1058.3048,1059.76776261682,1050.41300452001,1060.7304455414,1,0,2,1,1,1,1,"LC","LC","LC","LC","LC","LC","LC"
"6","AT20",35.5164,22.214,21.0356,20.066,20.0452,20.0016,0.62545753511054,0.592278496694485,0.564978432498789,0.564392787557298,0.563165185660709,0.0691375,0.0491,0.12925,0.0160999999999998,0.311233906545422,0.221031781759251,0.614434577573256,0.0765369183669578,18.757125,19.759,15.7515,21.409,18.743968224299,16.53411999963,19.3583407643312,16,11,29,4,16,26,13,"LC","LC","LC","LC","LC","LC","LC"
"7","AT21",386.3068,321.126,315.4696,311.724,311.3724,310.8976,0.831271932049863,0.816629683971393,0.806933763526813,0.806023606107891,0.804794531186094,0.319637499999999,0.235683333333332,0.5715,0.206599999999995,0.0995364747793697,0.0733927907840946,0.181158501484771,0.0654896700030667,305.144125,309.341833333333,292.551,310.796,305.379392523364,295.826149550866,305.684254458598,5,4,9,3,5,8,5,"LC","LC","LC","LC","LC","LC","LC"
"8","AT22",215.488,109.5176,97.942,93.6752,93.084,92.3968,0.508230620730621,0.454512548262548,0.43471190971191,0.431968369468369,0.428779328779329,0.535025,0.482316666666667,0.693149999999999,0.319600000000001,0.48852878441456,0.440401055781598,0.707714769965897,0.326315574523699,82.76635,85.4017666666666,74.8601,93.5375999999999,82.5432691588785,76.9650780946743,85.3340251592356,24,22,32,15,25,30,22,"LC","LC","VU","LC","LC","VU","LC"
"9","AT23",311.1928,272.4976,270.6884,268.592,268.436,268.2796,0.875655220814877,0.869841461627647,0.863104801910584,0.86260350496541,0.862100922643455,0.131812499999999,0.0753833333333323,0.301099999999998,0.0780999999999921,0.0483719856615246,0.0276638522076276,0.111234910694362,0.0288523630861138,265.906975,268.728433333333,257.4426,268.5926,266.102930841121,259.573721801715,266.487320700637,2,1,6,1,2,5,2,"LC","LC","LC","LC","LC","LC","LC"
"10","AT24",2976.1348,2631.7344,2617.014,2601.7712,2600.252,2598.0464,0.884279300789736,0.879333153861176,0.874211477248947,0.873701016499656,0.872959921035835,1.05274999999999,0.613349999999988,2.37094999999999,0.93119999999999,0.0400021369937631,0.0233059232725,0.0905975283280866,0.0355825379612027,2579.0969,2601.0669,2513.1869,2585.1744,2581.55964672897,2530.25040103981,2573.95080031847,2,1,5,2,2,4,2,"LC","LC","LC","LC","LC","LC","LC"
