"","T_MAPCODE","YEAR","km2","prop_nat","A3"
"1","AT15",1750,14.6008,1,"LC"
"2","AT15",1990,14.5868,0.999041148430223,"LC"
"3","AT15",2014,14.5868,0.999041148430223,"LC"
"4","AT15",2018,14.5808,0.998630212043176,"LC"
"5","AT15",2020,14.5756,0.998274067174401,"LC"
"6","AT15",2022,14.5748,0.998219275656128,"LC"
"7","AT16",1750,53.7692,1,"LC"
"8","AT16",1990,51.6708,0.960973940471497,"LC"
"9","AT16",2014,51.5376,0.958496685835013,"LC"
"10","AT16",2018,51.228,0.95273874262589,"LC"
"11","AT16",2020,51.1812,0.95186835586172,"LC"
"12","AT16",2022,51.1648,0.951563348534105,"LC"
"13","AT17",1750,729.2028,1,"LC"
"14","AT17",1990,596.6388,0.81820695148181,"LC"
"15","AT17",2014,583.9288,0.800776958069826,"LC"
"16","AT17",2018,577.5332,0.79200628412288,"LC"
"17","AT17",2020,576.8664,0.791091860865043,"LC"
"18","AT17",2022,576.74,0.790918520883354,"LC"
"19","AT18",1750,1175.6312,1,"LC"
"20","AT18",1990,1053.0648,0.895744175554375,"LC"
"21","AT18",2014,1042.0532,0.886377632713388,"LC"
"22","AT18",2018,1036.318,0.881499232072099,"LC"
"23","AT18",2020,1035.1504,0.880506063466162,"LC"
"24","AT18",2022,1034.7104,0.88013179643412,"LC"
"25","AT19",1750,1077.8672,1,"LC"
"26","AT19",1990,1066.2648,0.989235779695309,"LC"
"27","AT19",2014,1064.7868,0.987864553258509,"LC"
"28","AT19",2018,1062.4632,0.985708814592373,"LC"
"29","AT19",2020,1061.9932,0.985272768296503,"LC"
"30","AT19",2022,1061.8264,0.985118018249373,"LC"
"31","AT20",1750,35.5164,1,"LC"
"32","AT20",1990,22.214,0.62545753511054,"LC"
"33","AT20",2014,21.0356,0.592278496694485,"LC"
"34","AT20",2018,20.066,0.564978432498789,"LC"
"35","AT20",2020,20.0452,0.564392787557297,"LC"
"36","AT20",2022,20.0016,0.563165185660709,"LC"
"37","AT21",1750,386.3068,1,"LC"
"38","AT21",1990,321.126,0.831271932049863,"LC"
"39","AT21",2014,315.4696,0.816629683971393,"LC"
"40","AT21",2018,311.724,0.806933763526813,"LC"
"41","AT21",2020,311.3724,0.806023606107891,"LC"
"42","AT21",2022,310.8976,0.804794531186094,"LC"
"43","AT22",1750,215.488,1,"LC"
"44","AT22",1990,109.5176,0.508230620730621,"LC"
"45","AT22",2014,97.942,0.454512548262548,"VU"
"46","AT22",2018,93.6752,0.43471190971191,"VU"
"47","AT22",2020,93.084,0.431968369468369,"VU"
"48","AT22",2022,92.3968,0.428779328779329,"VU"
"49","AT23",1750,311.1928,1,"LC"
"50","AT23",1990,272.4976,0.875655220814877,"LC"
"51","AT23",2014,270.6884,0.869841461627647,"LC"
"52","AT23",2018,268.592,0.863104801910584,"LC"
"53","AT23",2020,268.436,0.86260350496541,"LC"
"54","AT23",2022,268.2796,0.862100922643454,"LC"
"55","AT24",1750,2976.1348,1,"LC"
"56","AT24",1990,2631.7344,0.884279300789736,"LC"
"57","AT24",2014,2617.014,0.879333153861176,"LC"
"58","AT24",2018,2601.7712,0.874211477248947,"LC"
"59","AT24",2020,2600.252,0.873701016499656,"LC"
"60","AT24",2022,2598.0464,0.872959921035835,"LC"
"61","AT25",1750,2128.9656,1,"LC"
"62","AT25",1990,2116.8632,0.994315361413073,"LC"
"63","AT25",2014,2115.7348,0.99378533875794,"LC"
"64","AT25",2018,2111.2128,0.991661302559327,"LC"
"65","AT25",2020,2110.1224,0.99114912894788,"LC"
"66","AT25",2022,2109.2204,0.99072544901618,"LC"
"67","AT26",1750,40.4824,1,"LC"
"68","AT26",1990,32.3728,0.799675908542972,"LC"
"69","AT26",2014,30.8656,0.762444914333142,"LC"
"70","AT26",2018,30.3004,0.748483291504456,"LC"
"71","AT26",2020,30.2088,0.746220579807521,"LC"
"72","AT26",2022,30.174,0.745360946979428,"LC"
"73","AT27",1750,1239.9792,1,"LC"
"74","AT27",1990,1234.4484,0.995539602599786,"LC"
"75","AT27",2014,1233.2544,0.994576683221783,"LC"
"76","AT27",2018,1231.6208,0.993259241767926,"LC"
"77","AT27",2020,1231.184,0.992906977794466,"LC"
"78","AT27",2022,1230.8536,0.992640521711977,"LC"
"79","AT28",1750,1030.5104,1,"LC"
"80","AT28",1990,920.2624,0.893016120943564,"LC"
"81","AT28",2014,913.5756,0.886527297541102,"LC"
"82","AT28",2018,909.176,0.882257956833817,"LC"
"83","AT28",2020,908.47,0.881572859429657,"LC"
"84","AT28",2022,908.232,0.881341905913807,"LC"
"85","AT29",1750,784.614,1,"LC"
"86","AT29",1990,771.7464,0.983600088706039,"LC"
"87","AT29",2014,770.276,0.981726046183219,"LC"
"88","AT29",2018,768.554,0.979531336427849,"LC"
"89","AT29",2020,768.3452,0.97926521831117,"LC"
"90","AT29",2022,768.056,0.978896629425424,"LC"
"91","AT30",1750,674.0584,1,"LC"
"92","AT30",1990,633.7716,0.940232478372794,"LC"
"93","AT30",2014,629.7036,0.934197392985534,"LC"
"94","AT30",2018,626.7168,0.929766322918014,"LC"
"95","AT30",2020,626.088,0.928833466061694,"LC"
"96","AT30",2022,625.3256,0.927702406794426,"LC"
"97","AT31",1750,240.8016,1,"LC"
"98","AT31",1990,212.2452,0.881411086969522,"LC"
"99","AT31",2014,211.38,0.877818087587458,"LC"
"100","AT31",2018,210.2988,0.873328084198776,"LC"
"101","AT31",2020,210.2132,0.872972604833191,"LC"
"102","AT31",2022,210.196,0.872901176736367,"LC"
"103","AT32",1750,3596.184,1,"LC"
"104","AT32",1990,3489.004,0.970196185734657,"LC"
"105","AT32",2014,3466.9484,0.96406312913911,"LC"
"106","AT32",2018,3455.1392,0.960779314962749,"LC"
"107","AT32",2020,3452.8,0.960128847689662,"LC"
"108","AT32",2022,3450.6652,0.95953521844266,"LC"
"109","AT33",1750,491.8056,1,"LC"
"110","AT33",1990,486.4956,0.989203050961599,"LC"
"111","AT33",2014,485.7588,0.987704898032881,"LC"
"112","AT33",2018,484.4204,0.984983497544558,"LC"
"113","AT33",2020,484.2196,0.98457520613836,"LC"
"114","AT33",2022,484.0704,0.984271834236942,"LC"
"115","AT34",1750,167.5268,1,"LC"
"116","AT34",1990,163.5256,0.976116060236332,"LC"
"117","AT34",2014,162.9968,0.972959550352541,"LC"
"118","AT34",2018,161.8124,0.965889636762596,"LC"
"119","AT34",2020,161.734,0.965421651938675,"LC"
"120","AT34",2022,161.674,0.965063500287715,"LC"
"121","AT35",1750,30.1476,1,"LC"
"122","AT35",1990,19.5128,0.647242234871101,"LC"
"123","AT35",2014,18.71,0.620613249479229,"LC"
"124","AT35",2018,18.4276,0.61124600299858,"LC"
"125","AT35",2020,18.378,0.60960076423994,"LC"
"126","AT35",2022,18.3744,0.609481351749393,"LC"
"127","AT36",1750,51.4116,1,"LC"
"128","AT36",1990,33.5308,0.652203004769352,"LC"
"129","AT36",2014,31.96,0.621649588808751,"LC"
"130","AT36",2018,29.9712,0.582965712018299,"LC"
"131","AT36",2020,29.8592,0.580787215336617,"LC"
"132","AT36",2022,29.7644,0.578943273502478,"LC"
"133","AT37",1750,176.6464,1,"LC"
"134","AT37",1990,122.4728,0.693321799934785,"LC"
"135","AT37",2014,112.8844,0.639041610811202,"LC"
"136","AT37",2018,106.6108,0.603526593239375,"LC"
"137","AT37",2020,106.2076,0.60124406724394,"LC"
"138","AT37",2022,106.1272,0.600788920691279,"LC"
"139","AT38",1750,1290.854,1,"LC"
"140","AT38",1990,909.3172,0.704430710211999,"LC"
"141","AT38",2014,870.3608,0.6742519293429,"LC"
"142","AT38",2018,854.3688,0.661863231628054,"LC"
"143","AT38",2020,851.5792,0.659702181656485,"LC"
"144","AT38",2022,849.7652,0.658296910417445,"LC"
"145","AT39",1750,245.8596,1,"LC"
"146","AT39",1990,225.77,0.918288323905188,"LC"
"147","AT39",2014,222.4484,0.904778174209996,"LC"
"148","AT39",2018,218.4864,0.888663285875353,"LC"
