"","T_MAPCODE","LC","1750","1990","2014","2018","2020","2022","prop_nat1990","prop_nat2014","prop_nat2018","prop_nat2020","prop_nat2022","A3_1990","A3_2014","A3_2018","A3_2020","A3_2022"
"1","AT15","nat",14.6008,14.5868,14.5868,14.5808,14.5756,14.5748,0.999041148430223,0.999041148430223,0.998630212043176,0.998274067174401,0.998219275656128,"LC","LC","LC","LC","LC"
"2","AT16","nat",53.7692,51.6708,51.5376,51.228,51.1812,51.1648,0.960973940471497,0.958496685835013,0.95273874262589,0.95186835586172,0.951563348534105,"LC","LC","LC","LC","LC"
"3","AT17","nat",729.2028,596.6388,583.9288,577.5332,576.8664,576.74,0.81820695148181,0.800776958069826,0.79200628412288,0.791091860865043,0.790918520883354,"LC","LC","LC","LC","LC"
"4","AT18","nat",1175.6312,1053.0648,1042.0532,1036.318,1035.1504,1034.7104,0.895744175554375,0.886377632713388,0.881499232072099,0.880506063466162,0.88013179643412,"LC","LC","LC","LC","LC"
"5","AT19","nat",1077.8672,1066.2648,1064.7868,1062.4632,1061.9932,1061.8264,0.989235779695309,0.987864553258509,0.985708814592373,0.985272768296503,0.985118018249373,"LC","LC","LC","LC","LC"
"6","AT20","nat",35.5164,22.214,21.0356,20.066,20.0452,20.0016,0.62545753511054,0.592278496694485,0.564978432498789,0.564392787557298,0.563165185660709,"LC","LC","LC","LC","LC"
"7","AT21","nat",386.3068,321.126,315.4696,311.724,311.3724,310.8976,0.831271932049863,0.816629683971393,0.806933763526813,0.806023606107891,0.804794531186094,"LC","LC","LC","LC","LC"
"8","AT22","nat",215.488,109.5176,97.942,93.6752,93.084,92.3968,0.508230620730621,0.454512548262548,0.43471190971191,0.431968369468369,0.428779328779329,"LC","VU","VU","VU","VU"
"9","AT23","nat",311.1928,272.4976,270.6884,268.592,268.436,268.2796,0.875655220814877,0.869841461627647,0.863104801910584,0.86260350496541,0.862100922643455,"LC","LC","LC","LC","LC"
"10","AT24","nat",2976.1348,2631.7344,2617.014,2601.7712,2600.252,2598.0464,0.884279300789736,0.879333153861176,0.874211477248947,0.873701016499656,0.872959921035835,"LC","LC","LC","LC","LC"
"11","AT25","nat",2128.9656,2116.8632,2115.7348,2111.2128,2110.1224,2109.2204,0.994315361413073,0.99378533875794,0.991661302559327,0.99114912894788,0.99072544901618,"LC","LC","LC","LC","LC"
"12","AT26","nat",40.4824,32.3728,30.8656,30.3004,30.2088,30.174,0.799675908542972,0.762444914333142,0.748483291504456,0.746220579807521,0.745360946979428,"LC","LC","LC","LC","LC"
"13","AT27","nat",1239.9792,1234.4484,1233.2544,1231.6208,1231.184,1230.8536,0.995539602599786,0.994576683221783,0.993259241767926,0.992906977794466,0.992640521711977,"LC","LC","LC","LC","LC"
"14","AT28","nat",1030.5104,920.2624,913.5756,909.176,908.47,908.232,0.893016120943564,0.886527297541102,0.882257956833818,0.881572859429657,0.881341905913807,"LC","LC","LC","LC","LC"
"15","AT29","nat",784.614,771.7464,770.276,768.554,768.3452,768.056,0.983600088706039,0.981726046183219,0.979531336427849,0.97926521831117,0.978896629425424,"LC","LC","LC","LC","LC"
"16","AT30","nat",674.0584,633.7716,629.7036,626.7168,626.088,625.3256,0.940232478372794,0.934197392985534,0.929766322918014,0.928833466061694,0.927702406794426,"LC","LC","LC","LC","LC"
"17","AT31","nat",240.8016,212.2452,211.38,210.2988,210.2132,210.196,0.881411086969522,0.877818087587458,0.873328084198776,0.872972604833191,0.872901176736367,"LC","LC","LC","LC","LC"
"18","AT32","nat",3596.184,3489.004,3466.9484,3455.1392,3452.8,3450.6652,0.970196185734656,0.96406312913911,0.960779314962749,0.960128847689662,0.95953521844266,"LC","LC","LC","LC","LC"
"19","AT33","nat",491.8056,486.4956,485.7588,484.4204,484.2196,484.0704,0.989203050961599,0.987704898032881,0.984983497544558,0.98457520613836,0.984271834236942,"LC","LC","LC","LC","LC"
"20","AT34","nat",167.5268,163.5256,162.9968,161.8124,161.734,161.674,0.976116060236332,0.972959550352541,0.965889636762596,0.965421651938675,0.965063500287715,"LC","LC","LC","LC","LC"
"21","AT35","nat",30.1476,19.5128,18.71,18.4276,18.378,18.3744,0.647242234871101,0.620613249479229,0.61124600299858,0.609600764239939,0.609481351749393,"LC","LC","LC","LC","LC"
"22","AT36","nat",51.4116,33.5308,31.96,29.9712,29.8592,29.7644,0.652203004769352,0.621649588808751,0.582965712018299,0.580787215336617,0.578943273502478,"LC","LC","LC","LC","LC"
"23","AT37","nat",176.6464,122.4728,112.8844,106.6108,106.2076,106.1272,0.693321799934785,0.639041610811202,0.603526593239375,0.60124406724394,0.600788920691279,"LC","LC","LC","LC","LC"
"24","AT38","nat",1290.854,909.3172,870.3608,854.3688,851.5792,849.7652,0.704430710211999,0.6742519293429,0.661863231628054,0.659702181656485,0.658296910417445,"LC","LC","LC","LC","LC"
"25","AT39","nat",245.8596,225.77,222.4484,218.4864,217.718,216.984,0.918288323905188,0.904778174209996,0.888663285875353,0.885537924896974,0.882552481172181,"LC","LC","LC","LC","LC"
"26","AT40","nat",596.3172,502.0212,493.1304,465.11,463.9972,463.16,0.841869394342474,0.826959879741856,0.779970794067319,0.778104673150464,0.776700722367223,"LC","LC","LC","LC","LC"
"27","AT41","nat",307.5216,220.4128,212.6232,208.9188,208.1496,207.8656,0.716739246934199,0.69140899370971,0.67936301059828,0.676861722883856,0.675938210519196,"LC","LC","LC","LC","LC"
"28","AT42","nat",59.8564,54.6732,53.8604,52.9968,52.8664,51.7304,0.913406085230652,0.899826919093029,0.885399055071805,0.883220507748545,0.864241751926277,"LC","LC","LC","LC","LC"
"29","AT43","nat",286.2032,270.7712,268.8528,266.2556,265.994,265.86,0.946080267446346,0.93937733750007,0.930302666077808,0.929388630176043,0.928920431357861,"LC","LC","LC","LC","LC"
"30","AT44","nat",163.4576,88.7144,73.2196,64.7528,64.3312,63.2552,0.542736464991533,0.447942463366647,0.396144321218469,0.393565059073423,0.386982312232652,"LC","VU","VU","VU","VU"
"31","AT45","nat",697.0252,451.4752,437.408,431.6956,430.7936,430.4944,0.64771718440022,0.627535417657783,0.619340018122731,0.618045947262739,0.617616694489668,"LC","LC","LC","LC","LC"
"32","AT46","nat",571.8576,557.298,555.9052,552.8852,552.4164,552.0688,0.974539815506518,0.972104244133505,0.966823209134582,0.966003424628789,0.965395580997787,"LC","LC","LC","LC","LC"
"33","AT47","nat",910.5756,894.258,891.6608,887.6752,887.002,886.1536,0.982079906380096,0.979227644579978,0.974850632940307,0.974111320356047,0.973179602001196,"LC","LC","LC","LC","LC"
"34","AT48","nat",20.3768,12.304,12.0464,11.8832,11.72,11.6912,0.60382395665659,0.591182128695379,0.583173020297593,0.575163911899808,0.57375053982961,"LC","LC","LC","LC","LC"
"35","AT49","nat",5647.1168,5561.6916,5550.6368,5535.572,5530.824,5524.0148,0.984872776139498,0.982915175404199,0.980247477792561,0.979406694757934,0.978200911303977,"LC","LC","LC","LC","LC"
"36","AT50","nat",577.5424,526.6208,519.1616,516.202,515.7564,515.4424,0.911830542657994,0.898915127270309,0.89379065502377,0.893019109938941,0.892475426912379,"LC","LC","LC","LC","LC"
"37","AT51","nat",1963.4028,1789.8828,1728.866,1703.0044,1698.5728,1693.7084,0.911622821358918,0.880545754544101,0.867373928569318,0.865116826766265,0.862639291336449,"LC","LC","LC","LC","LC"
"38","AT52","nat",43.5968,31.8148,30.648,30.2872,30.246,30.2416,0.729750807398708,0.7029873752202,0.694711538461538,0.693766514973576,0.693665590135056,"LC","LC","LC","LC","LC"
"39","AT53","nat",27.1028,19.4924,17.572,16.8096,16.684,16.5496,0.719202444027923,0.648346296323627,0.620216361409153,0.615582153873401,0.610623256637691,"LC","LC","LC","LC","LC"
