"","T_MAPCODE","EOO","AOO","sp_tot","sp_fire","sp_inv","sp_overg","ext2022","sp_km2","prp_fire","prp_inv","prp_overg","B1iii_sp","B2iii_sp"
"1","AT15",45.81732988,4,3,1,1,2,14.5748,0.21,0.3,0.3,0.7,"LC","LC"
"2","AT16",158.7300091,4,5,2,2,5,51.1648,0.1,0.4,0.4,1,"LC","LC"
"3","AT17",4479.418635,44,5,1,1,4,576.74,0.01,0.2,0.2,0.8,"LC","LC"
"4","AT18",5899.127087,55,4,0,1,3,1034.7104,0,0,0.2,0.8,"LC","LC"
"5","AT19",13147.0364,75,7,1,2,4,1061.8264,0.01,0.1,0.3,0.6,"LC","LC"
"6","AT20",115.0750943,3,13,6,8,5,20.0016,0.65,0.5,0.6,0.4,"LC","LC"
"7","AT21",2323.501603,26,3,1,1,1,310.8976,0.01,0.3,0.3,0.3,"LC","LC"
"8","AT22",946.9844025,13,3,0,0,1,92.3968,0.03,0,0,0.3,"LC","LC"
"9","AT23",1798.098713,18,1,0,0,0,268.2796,0,0,0,0,"LC","LC"
"10","AT24",11841.27979,74,5,2,1,3,2598.0464,0,0.4,0.2,0.6,"LC","LC"
"11","AT25",11432.27995,68,2,0,0,2,2109.2204,0,0,0,1,"LC","LC"
"12","AT26",703.3072694,6,1,0,1,0,30.174,0.03,0,1,0,"LC","LC"
"13","AT27",16538.17698,68,0,0,0,0,1230.8536,0,0,0,0,"LC","LC"
"14","AT28",8464.25249,54,0,0,0,0,908.232,0,0,0,0,"LC","LC"
"15","AT29",1803.9549,23,0,0,0,0,768.056,0,0,0,0,"LC","LC"
"16","AT30",908.9116642,15,3,0,0,2,625.3256,0,0,0,0.7,"LC","LC"
"17","AT31",1244.820737,19,0,0,0,0,210.196,0,0,0,0,"LC","LC"
"18","AT32",16791.80166,111,5,2,2,4,3450.6652,0,0.4,0.4,0.8,"LC","LC"
"19","AT33",5402.44638,38,6,0,0,6,484.0704,0.01,0,0,1,"LC","LC"
"20","AT34",366.5261103,9,10,3,6,1,161.674,0.06,0.3,0.6,0.1,"LC","LC"
"21","AT35",85.62771439,6,0,0,0,0,18.3744,0,0,0,0,"LC","LC"
"22","AT36",748.9482161,6,29,15,27,4,29.7644,0.97,0.5,0.9,0.1,"LC","LC"
"23","AT37",1753.357094,14,6,1,5,1,106.1272,0.06,0.2,0.8,0.2,"LC","LC"
"24","AT38",3614.052473,41,12,4,4,8,849.7652,0.01,0.3,0.3,0.7,"LC","LC"
"25","AT39",1200.282188,16,19,6,14,10,216.984,0.09,0.3,0.7,0.5,"LC","LC"
"26","AT40",4454.141883,26,96,23,91,21,463.16,0.21,0.2,0.9,0.2,"EN","VU"
"27","AT41",1716.529991,20,12,7,9,4,207.8656,0.06,0.6,0.8,0.3,"LC","LC"
"28","AT42",261.0963376,5,3,0,0,3,51.7304,0.06,0,0,1,"LC","LC"
"29","AT43",1224.867412,13,6,0,3,3,265.86,0.02,0,0.5,0.5,"LC","LC"
"30","AT44",542.2675896,7,15,6,13,10,63.2552,0.24,0.4,0.9,0.7,"LC","LC"
"31","AT45",2150.323235,24,6,2,3,2,430.4944,0.01,0.3,0.5,0.3,"LC","LC"
"32","AT46",3798.219529,31,18,3,3,14,552.0688,0.03,0.2,0.2,0.8,"LC","LC"
"33","AT47",2080.270095,28,5,1,2,3,886.1536,0.01,0.2,0.4,0.6,"LC","LC"
"34","AT48",28.2881677,3,2,2,2,0,11.6912,0.17,1,1,0,"LC","LC"
"35","AT49",17378.90901,143,5,0,2,3,5524.0148,0,0,0.4,0.6,"LC","LC"
"36","AT50",5641.342147,29,18,9,15,7,515.4424,0.03,0.5,0.8,0.4,"LC","LC"
"37","AT51",7144.44123,62,32,7,21,17,1693.7084,0.02,0.2,0.7,0.5,"LC","LC"
"38","AT52",59.00719591,3,0,0,0,0,30.2416,0,0,0,0,"LC","LC"
"39","AT53",42.211326,3,3,0,0,1,16.5496,0.18,0,0,0.3,"LC","LC"
"40","AT54",3542.29472,17,3,0,3,1,184.8992,0.02,0,1,0.3,"LC","LC"
"41","AT55",1687.656616,20,6,1,2,5,741.5976,0.01,0.2,0.3,0.8,"LC","LC"
"42","AT56",1915.210447,30,9,4,4,4,465.9492,0.02,0.4,0.4,0.4,"LC","LC"
"43","AT57",2803.464089,11,30,16,27,4,105.5096,0.28,0.5,0.9,0.1,"EN","EN"
"44","AT58",7241.287773,70,4,0,1,3,2221.2952,0,0,0.2,0.8,"LC","LC"
"45","AZa1",561.7953257,5,1,0,0,1,18.1868,0.05,0,0,1,"LC","LC"
"46","AZa2",11457.24672,34,20,8,17,12,116.1724,0.17,0.4,0.8,0.6,"LC","LC"
"47","AZa3",43030.96213,97,12,0,0,9,530.9836,0.02,0,0,0.8,"LC","LC"
"48","AZa4",43323.69605,113,1,0,0,1,1248.4128,0,0,0,1,"LC","LC"
"49","AZa5",33725.68204,127,1,0,0,0,2106.648,0,0,0,0,"LC","LC"
"50","AZa6",12011.61527,53,19,4,13,9,286.0296,0.07,0.2,0.7,0.5,"LC","LC"
"51","AZa7",318531.5035,87,1,0,0,0,859.3644,0,0,0,0,"LC","LC"
"52","AZd1",73.51331765,0,2,0,0,1,0.3172,6.31,0,0,0.5,"LC","LC"
"53","AZd2",2742.359744,1,6,0,0,2,9.5168,0.63,0,0,0.3,"LC","LC"
"54","AZd3",191365.9833,39,15,1,8,4,215.2172,0.07,0.1,0.5,0.3,"LC","LC"
"55","AZd4",35488.77075,4,5,0,2,1,26.27,0.19,0,0.4,0.2,"LC","LC"
"56","AZi1",37881.67528,195,10,0,1,1,1200.1276,0.01,0,0.1,0.1,"LC","LC"
"57","AZi3",119497.816,143,0,0,0,0,1914.6164,0,0,0,0,"LC","LC"
"58","AZi5",141946.9064,364,0,0,0,0,4815.0392,0,0,0,0,"LC","LC"
"59","AZi6",78135.63103,335,9,0,0,8,4534.9768,0,0,0,0.9,"LC","LC"
"60","AZi7",12014.88418,87,2,0,0,2,1983.6596,0,0,0,1,"LC","LC"
"61","AZi8",5933.849228,28,12,0,0,5,143.7668,0.08,0,0,0.4,"LC","LC"
"62","AZs3",16493.61745,4,5,0,1,1,11.972,0.42,0,0.2,0.2,"LC","LC"
"63","CB1",8594.854371,66,19,7,10,11,832.548,0.02,0.4,0.5,0.6,"LC","LC"
"64","CB2",4918.309702,31,14,3,6,9,401.0516,0.03,0.2,0.4,0.6,"LC","LC"
"65","CB3",8437.213536,74,39,19,26,25,672.314,0.06,0.5,0.7,0.6,"LC","LC"
"66","CB4",3086.329174,35,57,39,40,37,641.0904,0.09,0.7,0.7,0.6,"LC","LC"
"67","CB5",3870.636975,40,6,2,3,3,899.2332,0.01,0.3,0.5,0.5,"LC","LC"
"68","CB6",5845.995747,45,7,4,5,4,411.5112,0.02,0.6,0.7,0.6,"LC","LC"
"69","Dg1",477.8983176,8,21,0,1,18,332.8976,0.06,0,0,0.9,"LC","LC"
"70","Dg10",7836.013306,68,5,0,0,2,2084.2796,0,0,0,0.4,"LC","LC"
"71","Dg2",509.760782,8,7,0,0,7,361.3932,0.02,0,0,1,"LC","LC"
"72","Dg3",859.4970252,13,5,0,0,5,156.4688,0.03,0,0,1,"LC","LC"
"73","Dg4",147.4507913,6,0,0,0,0,107.1928,0,0,0,0,"LC","LC"
"74","Dg5",869.2165362,14,10,0,0,6,591.9344,0.02,0,0,0.6,"LC","LC"
"75","Dg6",13.8777985,2,3,0,0,2,8.1068,0.37,0,0,0.7,"LC","LC"
"76","Dg7",294.9471668,5,4,0,0,3,244.0452,0.02,0,0,0.8,"LC","LC"
"77","Dg8",503.8998912,10,3,0,0,1,342.9244,0.01,0,0,0.3,"LC","LC"
"78","Dg9",6410.819074,50,1,0,0,0,1198.2608,0,0,0,0,"LC","LC"
"79","Dn1",12.67384286,0,5,0,0,3,1.3532,3.69,0,0,0.6,"LC","LC"
"80","Dn2",1.378662051,0,0,0,0,0,1.01,0,0,0,0,"LC","LC"
"81","Dn3",262.5722186,5,23,0,0,18,122.5984,0.19,0,0,0.8,"LC","LC"
"82","Dn4",386.1980345,8,43,0,0,36,194.7612,0.22,0,0,0.8,"CR","EN"
"83","Dn5",845.8349561,12,40,0,0,32,384.4044,0.1,0,0,0.8,"LC","LC"
"84","FFa1",887.8102549,12,18,4,13,9,52.9628,0.34,0.2,0.7,0.5,"LC","LC"
"85","FFa2",2080.24014,16,139,64,123,83,168.948,0.82,0.5,0.9,0.6,"EN","EN"
"86","FFa3",2354.29011,21,178,92,170,126,136.9996,1.3,0.5,1,0.7,"EN","VU"
