"","T_MAPCODE","Area"
"<Null>","<Null>",494735931600
"AT15","AT15",44467200
"AT16","AT16",159519600
"AT17","AT17",4492681400
"AT18","AT18",5893058200.00001
"AT19","AT19",13141995800
"AT20","AT20",116764800
"AT21","AT21",2331186800
"AT22","AT22",949205999.999999
"AT23","AT23",1793010400
"AT24","AT24",11836761000
"AT25","AT25",11420901000
"AT26","AT26",709736600
"AT27","AT27",16538345400
"AT28","AT28",8458079800.00001
"AT29","AT29",1802054400
"AT30","AT30",909230000.000001
"AT31","AT31",1246483400
"AT32","AT32",16780397000
"AT33","AT33",5398575600
"AT34","AT34",370958400
"AT35","AT35",86942400
"AT36","AT36",771149800
"AT37","AT37",1761232800
"AT38","AT38",3618303000
"AT39","AT39",1202607600
"AT40","AT40",4459850600
"AT41","AT41",1726593600
"AT42","AT42",261168400
"AT43","AT43",1227824000
"AT44","AT44",554378400
"AT45","AT45",2150611400
"AT46","AT46",3796384800
"AT47","AT47",2081339000
"AT48","AT48",28070400
"AT49","AT49",17367526400
"AT50","AT50",5649113800
"AT51","AT51",7147431800
"AT52","AT52",59242200.0000003
"AT53","AT53",44458800.0000001
"AT54","AT54",3541793600
"AT55","AT55",1692852800
"AT56","AT56",1912272800
"AT57","AT57",2798034600
"AT58","AT58",7241232800
"AZa1","AZa1",565269400
"AZa2","AZa2",11581424000
"AZa3","AZa3",43037207400
"AZa4","AZa4",43344180800
"AZa5","AZa5",33754335200
"AZa6","AZa6",12031767200
"AZa7","AZa7",321776487800
"AZd1","AZd1",54420200
"AZd2","AZd2",3053845400
"AZd3","AZd3",191869720600
"AZd4","AZd4",35882163799.9999
"AZi1","AZi1",37927586200
"AZi3","AZi3",119554115800
"AZi5","AZi5",142041407200
"AZi6","AZi6",78172446200
"AZi7","AZi7",12039579200
"AZi8","AZi8",5957940800
"AZs3","AZs3",20434154200
"CB1","CB1",8671246799.99999
"CB2","CB2",4946483799.99998
"CB3","CB3",8509659200.00003
"CB4","CB4",3092960000
"CB5","CB5",3868992600
"CB6","CB6",5892780600.00001
"Dg1","Dg1",477242600
"Dg10","Dg10",7844075000
"Dg2","Dg2",508617000
"Dg3","Dg3",861167800
"Dg4","Dg4",147071600
"Dg5","Dg5",867978000
"Dg6","Dg6",14021400
"Dg7","Dg7",294777800
"Dg8","Dg8",503958600
"Dg9","Dg9",6410718800
"Dn1","Dn1",12329000
"Dn2","Dn2",1536000
"Dn3","Dn3",266261600
"Dn4","Dn4",384464800
"Dn5","Dn5",847456400
"FFa1","FFa1",892111000.000001
"FFa2","FFa2",2099067200
"FFa3","FFa3",2359187400
"FFa4","FFa4",103129000
"FFb1","FFb1",8858418200
"FFb2","FFb2",13052750600
"FFb3","FFb3",6888900200
"FFb4","FFb4",6731332600
"FFb5","FFb5",4533570600
"FFb6","FFb6",4407462600
"FFc1","FFc1",3637553400
"FFd1","FFd1",6298165000
"FFd10","FFd10",412455000
"FFd11","FFd11",1009996400
"FFd2","FFd2",5511384800
"FFd3","FFd3",2227896000
"FFd4","FFd4",3016197600
"FFd5","FFd5",1709287000
"FFd6","FFd6",1834294400
"FFd7","FFd7",1251671400
"FFd8","FFd8",861757400.000001
"FFd9","FFd9",2822473200
"FFf1","FFf1",3028268600
"FFf2","FFf2",112592400
"FFg1","FFg1",652342600
"FFg2","FFg2",2710908200
"FFg3","FFg3",494358600
"FFg4","FFg4",161092200
"FFg5","FFg5",934829000.000001
"FFh1","FFh1",1747020600
"FFh10","FFh10",3037503600
"FFh11","FFh11",25030600
"FFh2","FFh2",436504000
"FFh3","FFh3",943587200
"FFh4","FFh4",3762959200
"FFh5","FFh5",2196157400
"FFh6","FFh6",1263131200
"FFh7","FFh7",1051107200
"FFh8","FFh8",2545732400
"FFh9","FFh9",5143757200
"FFl1","FFl1",1948978400
"FFl2","FFl2",1678890600
"FFl3","FFl3",2441988400
"FFq1","FFq1",256666200
"FFq2","FFq2",3433861400
"FFq3","FFq3",7715983800
"FFq4","FFq4",1141639800
"FFq5","FFq5",4619850600
"FFq6","FFq6",3907348200
"FFs1","FFs1",3639346600
"FFs10","FFs10",2437020400
"FFs11","FFs11",1669957000
"FFs12","FFs12",3388978000
"FFs13","FFs13",1518373000
"FFs14","FFs14",1137222800
"FFs15","FFs15",7918975600
"FFs16","FFs16",5413101400
"FFs17","FFs17",162213200.000001
"FFs18","FFs18",1788089200
"FFs19","FFs19",4176120000
"FFs2","FFs2",5077862400
"FFs20","FFs20",3075337800
"FFs21","FFs21",1076614000
"FFs22","FFs22",1176568800
"FFs23","FFs23",4479654000
"FFs24","FFs24",4372755200
"FFs25","FFs25",703196200
"FFs26","FFs26",592814999.999999
"FFs27","FFs27",8600629200
"FFs28","FFs28",10480352000
"FFs29","FFs29",449562800
"FFs3","FFs3",2790990400
"FFs30","FFs30",4710661800
"FFs31","FFs31",1113937600
"FFs32","FFs32",1306056200
"FFs4","FFs4",4979663600
"FFs5","FFs5",2233538200
"FFs6","FFs6",862163200
"FFs7","FFs7",1033308200
"FFs8","FFs8",785490200.000002
"FFs9","FFs9",489803400
"FFt1","FFt1",1201066200
"FFt2","FFt2",954608000
"FOa1","FOa1",78574859800
"FOa2","FOa2",19261700000
"FOa3","FOa3",38391596799.9999
"FOz1","FOz1",125425060200
"FOz2","FOz2",182362715000
"FOz3","FOz3",152043704200
"FOz4","FOz4",47372830600
"FOz5","FOz5",178781508400
"FOz6","FOz6",51635582600
"FOz7","FOz7",33282448200
"FOz8","FOz8",4752421199.99999
"FOz9","FOz9",40173037200
"FRa1","FRa1",2233709600
"FRa2","FRa2",736922200
"FRc1","FRc1",6771496400
"FRc2","FRc2",6230665400
"FRd1","FRd1",3627568600
"FRd2","FRd2",2007481200
"FRg1","FRg1",6602085200
"FRg2","FRg2",3619815000
"FRg3","FRg3",25589199.9999996
"FRl1","FRl1",1157523000
"FRs1","FRs1",2154700200
"FRs10","FRs10",45809600
"FRs11","FRs11",1857262600
"FRs12","FRs12",4189218399.99999
"FRs13","FRs13",4597861800
"FRs14","FRs14",1848560000
"FRs15","FRs15",1249960000
"FRs16","FRs16",5902120400
"FRs17","FRs17",3291829000
"FRs18","FRs18",425774600
"FRs19","FRs19",2107328000
"FRs2","FRs2",719296800
"FRs20","FRs20",429420800
"FRs3","FRs3",12849015000
"FRs4","FRs4",1762872800
"FRs5","FRs5",3291167400
"FRs6","FRs6",6250621800
"FRs7","FRs7",8802791000
"FRs8","FRs8",4789342400
"FRs9","FRs9",10550349200
"FS1","FS1",1263999800
"FS10","FS10",8552322000.00001
"FS11","FS11",86285999.9999992
"FS12","FS12",5084070200
"FS13","FS13",808140200
"FS14","FS14",1128578400
"FS2","FS2",1104315600
"FS3","FS3",5165438600
"FS4","FS4",791501600
"FS5","FS5",4476652600
"FS6","FS6",2784513600
"FS7","FS7",6188120800.00001
"FS9","FS9",355448600
"Gd1","Gd1",13755470800
"Gd10","Gd10",11955671200
"Gd2","Gd2",1627928400
"Gd3","Gd3",5035089000
"Gd4","Gd4",27791764200
"Gd5","Gd5",6791244800
"Gd6","Gd6",7320739999.99999
"Gd7","Gd7",8349078799.99999
"Gd8","Gd8",46198631800
"Gd9","Gd9",4170993200
"Gh1","Gh1",52010417800
"Gh10","Gh10",62553896800
"Gh11","Gh11",1691869200
"Gh12","Gh12",448891800.000001
"Gh13","Gh13",14441147600
"Gh14","Gh14",21100381400
"Gh15","Gh15",29451060800
"Gh2","Gh2",15308940000
