"","T_MAPCODE","T_Name","T_BIOME","inv_deg","sum_IAT","sum_rem","sum_aoi","type_km2","prop_in_aoi","prop_inv","prop_nat","D3"
"1","AT33","Gamka Arid Thicket","Albany Thicket",1,0.015,393.4632,401.0032,491.832438063366,0.815324832129792,0.0000381230061667775,0.981197157528917,"LC"
"2","AT34","Gamka Valley Thicket","Albany Thicket",1,0.004,161.707,167.5385,167.528944833763,1.00005703591249,0.0000247360967676106,0.965193075024547,"LC"
"3","AT37","Gouritz Valley Thicket","Albany Thicket",1,0.0088,105.0727,174.8563,176.660144876747,0.989789180360935,0.0000837515358413746,0.600908860590096,"LC"
"4","AT43","Mons Ruber Fynbos Thicket","Albany Thicket",1,0.0042,265.8798,286.1989,286.195478406097,1.00001195544361,0.0000157966118524235,0.929003570593738,"LC"
"5","AT46","Oudtshoorn Karroid Thicket","Albany Thicket",1,0.0925,552.07,571.9122,571.900021998184,1.00002129393486,0.000167551216331262,0.965305513678498,"LC"
"6","AT55","Western Gwarrieveld","Albany Thicket",1,0.0134,741.5483,760.3759,760.373289362708,1.0000034333627,0.0000180702996689494,0.975239088982173,"LC"
"7","AZa2","Cape Lowland Alluvial Vegetation","Azonal Vegetation",1,5.28,115.6731,348.4591,350.809842731667,0.993299096988378,0.0456458761803738,0.331956031568698,"LC"
"8","AZd3","Cape Seashore Vegetation","Azonal Vegetation",1,3.1365,183.037,185.0335,220.274979184748,0.840011428827826,0.0171358796308943,0.989210061961753,"LC"
"9","AZi8","Muscadel Riviere","Azonal Vegetation",1,0.0001,143.9496,407.2313,407.229070971492,1.0000054736478,0.000000694687585099229,0.353483634484874,"LC"
"10","FFa1","Kouebokkeveld Alluvium Fynbos","Fynbos",1,0.0396,52.9555,180.0582,180.053487077554,1.00002617512453,0.000747797679183465,0.294102129200447,"LC"
"11","FFa2","Breede Alluvium Fynbos","Fynbos",1,1.4568,168.8853,501.6498,501.654785565608,0.999990061760096,0.00862597277560569,0.336659757464271,"LC"
"12","FFa3","Swartland Alluvium Fynbos","Fynbos",1,7.4046,137.098,477.2055,477.199931744267,1.00001166860128,0.054009540620578,0.287293419711215,"LC"
"13","FFa4","Lourensford Alluvium Fynbos","Fynbos",1,4.3338,5.1294,35.85,35.8523221525305,0.999935230066253,0.844894139665458,0.14307949790795,"EN"
"14","FFb1","Northern Inland Shale Band Vegetation","Fynbos",1,0.5924,258.2133,279.0046,279.023284419029,0.999933036344733,0.00229422729193268,0.925480440107439,"LC"
"15","FFb2","Western Coastal Shale Band Vegetation","Fynbos",1,86.0963,128.1907,134.5103,134.524564504236,0.999893963572464,0.671626724871617,0.953017724293233,"VU"
"16","FFb3","Central Inland Shale Band Vegetation","Fynbos",1,0.1055,97.6928,97.8605,97.86593184526,0.9999444970772,0.00107991581774706,0.99828633616219,"LC"
"17","FFb4","Central Coastal Shale Band Vegetation","Fynbos",1,0.1252,54.0352,61.9373,61.9419783306491,0.999924472372773,0.00231700817245055,0.872417751500308,"LC"
"18","FFc1","Swellendam Silcrete Fynbos","Fynbos",1,0.1079,388.781,869.0793,869.147066314497,0.999922031245202,0.000277534138756781,0.447348130371993,"LC"
"19","FFd4","Atlantis Sand Fynbos","Fynbos",1,0.0142,330.7161,689.0107,689.04611569161,0.999948601855807,0.0000429371294593762,0.479986885544738,"LC"
"20","FFd5","Cape Flats Sand Fynbos","Fynbos",1,0.0352,88.2751,555.389,556.956757300317,0.997185136404636,0.000398753442363702,0.158942831060752,"LC"
"21","FFd6","Hangklip Sand Fynbos","Fynbos",1,29.2683,49.2159,85.3992,88.6680918102613,0.963133391691159,0.594691959305834,0.576303993480033,"VU"
"22","FFd7","Agulhas Sand Fynbos","Fynbos",1,94.0558,117.3496,242.795,247.44182258445,0.98122054495107,0.801500814659786,0.483327910377067,"EN"
"23","FFd8","Breede Sand Fynbos","Fynbos",1,0.0386,43.3915,97.6878,97.6862399012592,1.00001597050662,0.00088957514720625,0.444185456116322,"LC"
"24","FFf1","Elim Ferricrete Fynbos","Fynbos",1,228.165,233.227,692.9785,694.022586323015,0.998495601809522,0.97829582338237,0.336557339080505,"CR"
