"","type","zone","get","extent","RLE","EPL","RLE_EPL","realm"
"1","FFd7","Fynbos","T3.2",119.5484,"CR","PP","CR_PP","ter"
"2","AT34","Albany Thicket","T1.2",161.674,"LC","NP","LC_NP","ter"
"3","AT50","Albany Thicket","T1.2",515.4424,"LC","WP","LC_WP","ter"
"4","AT51","Albany Thicket","T1.2",1693.7084,"LC","MP","LC_MP","ter"
"5","AT36","Albany Thicket","MT2.1",29.7644,"CR","WP","CR_WP","ter"
"6","FS13","Fynbos",NA,35.1444,"LC","WP","LC_WP","ter"
"7","AT40","Albany Thicket","MT2.1",463.16,"EN","PP","EN_PP","ter"
"8","FFl3","Fynbos","T3.2",622.3644,"LC","NP","LC_NP","ter"
"9","FFd9","Fynbos","T3.2",264.1432,"EN","PP","EN_PP","ter"
"10","FFd11","Fynbos","T3.2",60.0188,"CR","PP","CR_PP","ter"
"11","FFs20","Fynbos","T3.2",1567.7116,"LC","WP","LC_WP","ter"
"12","AT57","Albany Thicket","MT2.1",105.5096,"EN","PP","EN_PP","ter"
"13","AT54","Albany Thicket","T1.2",184.8992,"LC","WP","LC_WP","ter"
"14","AT19","Albany Thicket","T1.2",1061.8264,"LC","WP","LC_WP","ter"
"15","AT25","Albany Thicket","T1.2",2109.2204,"LC","MP","LC_MP","ter"
"16","AT27","Albany Thicket","T1.2",1230.8536,"LC","WP","LC_WP","ter"
"17","AT29","Albany Thicket","T1.2",768.056,"LC","WP","LC_WP","ter"
"18","AT33","Albany Thicket","T1.2",484.0704,"LC","PP","LC_PP","ter"
"19","AT43","Albany Thicket","T3.2",265.86,"LC","NP","LC_NP","ter"
"20","AT46","Albany Thicket","T1.2",552.0688,"LC","WP","LC_WP","ter"
"21","AT49","Albany Thicket","T1.2",5524.0148,"VU","MP","VU_MP","ter"
"22","AT55","Albany Thicket","T1.2",741.5976,"LC","PP","LC_PP","ter"
"23","AT58","Albany Thicket","T1.2",2221.2952,"LC","NP","LC_NP","ter"
"24","AT26","Albany Thicket","T1.2",30.174,"LC","PP","LC_PP","ter"
"25","AT37","Albany Thicket","T1.2",106.1272,"CR","NP","CR_NP","ter"
"26","FS14","Fynbos",NA,84.9324,"CR","PP","CR_PP","ter"
"27","FRs19","Fynbos","T3.2",155.8908,"EN","NP","EN_NP","ter"
"28","AZa6","Azonal Vegetation","T4.1",286.0296,"EN","PP","EN_PP","ter"
"29","AZd2","Azonal Vegetation","MT2.1",9.5168,"CR","PP","CR_PP","ter"
"30","AZd3","Azonal Vegetation","MT2.1",215.2172,"LC","WP","LC_WP","ter"
"31","AZa2","Azonal Vegetation","T3.2",116.1724,"EN","NP","EN_NP","ter"
"32","AZi1","Azonal Vegetation","T5.2",1200.1276,"LC","PP","LC_PP","ter"
"33","AZa1","Azonal Vegetation","T3.2",18.1868,"LC","WP","LC_WP","ter"
"34","AZi5","Azonal Vegetation","T5.1",4815.0392,"LC","PP","LC_PP","ter"
"35","AZi6","Azonal Vegetation","T5.2",4534.9768,"LC","PP","LC_PP","ter"
"36","AZi7","Azonal Vegetation","T5.2",1983.6596,"LC","MP","LC_MP","ter"
"37","AZi8","Azonal Vegetation","T5.2",143.7668,"EN","NP","EN_NP","ter"
"38","FOz6","Forests","T1.2",150.9288,"LC","WP","LC_WP","ter"
"39","FOz1","Forests","T2.4",632.212,"LC","WP","LC_WP","ter"
"40","FFs19","Fynbos","T3.2",1047.7296,"LC","WP","LC_WP","ter"
"41","FFt2","Fynbos","T3.2",181.5708,"LC","PP","LC_PP","ter"
"42","FFd2","Fynbos","T3.2",756.9556,"EN","NP","EN_NP","ter"
"43","FFb4","Fynbos","T3.2",54.0568,"LC","WP","LC_WP","ter"
"44","FFs15","Fynbos","T3.2",906.3568,"LC","WP","LC_WP","ter"
"45","FFb2","Fynbos","T3.2",128.2068,"EN","WP","EN_WP","ter"
"46","FFg2","Fynbos","T3.2",279.5672,"EN","MP","EN_MP","ter"
"47","FRg2","Fynbos","T3.2",153.8836,"EN","NP","EN_NP","ter"
"48","FFg5","Fynbos","T3.2",177.678,"CR","NP","CR_NP","ter"
"49","FFd1","Fynbos","T3.2",1106.6752,"LC","PP","LC_PP","ter"
"50","FFl1","Fynbos","T3.2",257.4524,"CR","PP","CR_PP","ter"
"51","FS7","Fynbos","T3.2",37.4948,"EN","MP","EN_MP","ter"
"52","FFl2","Fynbos","T3.2",661.6104,"LC","MP","LC_MP","ter"
"53","FFs17","Fynbos","T3.2",100.296,"CR","WP","CR_WP","ter"
"54","FS9","Fynbos","T3.2",12.3604,"CR","NP","CR_NP","ter"
"55","FFd6","Fynbos","T3.2",51.4168,"CR","MP","CR_MP","ter"
"56","FFf1","Fynbos","T3.2",233.5072,"EN","PP","EN_PP","ter"
"57","FFg3","Fynbos","T3.2",31.2132,"CR","MP","CR_MP","ter"
"58","FRs10","Fynbos","T3.2",2.5132,"CR","PP","CR_PP","ter"
"59","FS1","Fynbos","T3.2",235.792,"CR","PP","CR_PP","ter"
"60","FS2","Fynbos","T3.2",78.3044,"CR","PP","CR_PP","ter"
"61","FS3","Fynbos","T3.2",580.8488,"EN","PP","EN_PP","ter"
"62","FS4","Fynbos","T3.2",49.5296,"CR","MP","CR_MP","ter"
"63","FS5","Fynbos","T3.2",293.0008,"EN","WP","EN_WP","ter"
"64","FS6","Fynbos","T3.2",183.1524,"EN","MP","EN_MP","ter"
"65","FRc2","Fynbos","T3.2",28.494,"EN","NP","EN_NP","ter"
"66","FRs12","Fynbos","T3.2",195.7052,"CR","NP","CR_NP","ter"
"67","FRs13","Fynbos","T3.2",397.7656,"EN","NP","EN_NP","ter"
"68","FFs27","Fynbos","T3.2",2155.9756,"LC","WP","LC_WP","ter"
"69","FFs28","Fynbos","T3.2",3696.5036,"LC","WP","LC_WP","ter"
"70","FFs2","Fynbos","T3.2",937.778,"LC","PP","LC_PP","ter"
"71","FFh6","Fynbos","T3.2",67.108,"CR","PP","CR_PP","ter"
"72","FRc1","Fynbos","T3.2",12.802,"CR","NP","CR_NP","ter"
"73","FRs9","Fynbos","T3.2",486.2376,"CR","NP","CR_NP","ter"
"74","FRa1","Fynbos","T3.2",174.4068,"EN","NP","EN_NP","ter"
"75","FRg3","Fynbos","T3.2",18.8332,"LC","MP","LC_MP","ter"
"76","FRs11","Fynbos","T3.2",153.0492,"CR","NP","CR_NP","ter"
"77","FRs8","Fynbos","T3.2",616.4812,"EN","PP","EN_PP","ter"
"78","FFb5","Fynbos","T3.2",95.8256,"LC","WP","LC_WP","ter"
"79","FFh10","Fynbos","T3.2",277.9484,"LC","WP","LC_WP","ter"
"80","FFq5","Fynbos","T3.2",388.316,"LC","NP","LC_NP","ter"
"81","FFq6","Fynbos","T3.2",668.574,"LC","MP","LC_MP","ter"
"82","FFs18","Fynbos","T3.2",732.3164,"LC","PP","LC_PP","ter"
"83","FRs16","Fynbos","T3.2",1104.1168,"LC","PP","LC_PP","ter"
"84","FRs17","Fynbos","T3.2",64.1688,"EN","NP","EN_NP","ter"
