"","T_MAPCODE","T_BIOME","T_Name","get","extent","RLE_EPL","RLE","Criteria_triggered","EPL"
"1","FFd7","Fynbos","Agulhas Sand Fynbos","T3.2",119.5484,"CR_PP","CR","B1iii_sp","PP"
"2","AT34","Albany Thicket","Gamka Valley Thicket","T1.2",161.674,"LC_NP","LC","","NP"
"3","AT50","Albany Thicket","Sundays Mesic Thicket","T1.2",515.4424,"LC_WP","LC","","WP"
"4","AT51","Albany Thicket","Sundays Valley Thicket","T1.2",1693.7084,"LC_MP","LC","","MP"
"5","AT36","Albany Thicket","Goukamma Dune Thicket","MT2.1",29.7644,"CR_WP","CR","B1i_rod","WP"
"6","FS13","Fynbos","Goukamma Strandveld",NA,35.1444,"LC_WP","LC","","WP"
"7","AT40","Albany Thicket","Hartenbos Dune Thicket","MT2.1",463.16,"EN_PP","EN","B1iii_sp","PP"
"8","FFl3","Fynbos","Canca Limestone Fynbos","T3.2",622.3644,"LC_NP","LC","","NP"
"9","FFd9","Fynbos","Albertinia Sand Fynbos","T3.2",264.1432,"EN_PP","EN","B1iii_sp","PP"
"10","FFd11","Fynbos","Southern Cape Dune Fynbos","T3.2",60.0188,"CR_PP","CR","B1i_inv","PP"
"11","FFs20","Fynbos","Tsitsikamma Sandstone Fynbos","T3.2",1567.7116,"LC_WP","LC","","WP"
"12","AT57","Albany Thicket","St Francis Dune Thicket","MT2.1",105.5096,"EN_PP","EN","B1iii_sp, B2iii_sp","PP"
"13","AT54","Albany Thicket","Vanstadens Forest Thicket","T1.2",184.8992,"LC_WP","LC","","WP"
"14","AT19","Albany Thicket","Baviaans Valley Thicket","T1.2",1061.8264,"LC_WP","LC","","WP"
"15","AT25","Albany Thicket","Eastern Gwarrieveld","T1.2",2109.2204,"LC_MP","LC","","MP"
"16","AT27","Albany Thicket","Escarpment Arid Thicket","T1.2",1230.8536,"LC_WP","LC","","WP"
"17","AT29","Albany Thicket","Escarpment Valley Thicket","T1.2",768.056,"LC_WP","LC","","WP"
"18","AT33","Albany Thicket","Gamka Arid Thicket","T1.2",484.0704,"LC_PP","LC","","PP"
"19","AT43","Albany Thicket","Mons Ruber Fynbos Thicket","T3.2",265.86,"LC_NP","LC","","NP"
"20","AT46","Albany Thicket","Oudtshoorn Karroid Thicket","T1.2",552.0688,"LC_WP","LC","","WP"
"21","AT49","Albany Thicket","Sundays Arid Thicket","T1.2",5524.0148,"VU_MP","VU","D3_step; D3_inv","MP"
"22","AT55","Albany Thicket","Western Gwarrieveld","T1.2",741.5976,"LC_PP","LC","","PP"
"23","AT58","Albany Thicket","Willowmore Gwarrieveld","T1.2",2221.2952,"LC_NP","LC","","NP"
"24","AT26","Albany Thicket","Elands Forest Thicket","T1.2",30.174,"LC_PP","LC","","PP"
"25","AT37","Albany Thicket","Gouritz Valley Thicket","T1.2",106.1272,"CR_NP","CR","B1i_rod","NP"
"26","FS14","Fynbos","St Francis Strandveld",NA,84.9324,"CR_PP","CR","B1i_inv","PP"
"27","FRs19","Fynbos","Humansdorp Shale Renosterveld","T3.2",155.8908,"EN_NP","EN","B1i_rod, B2i_rod","NP"
"28","AZa6","Azonal Vegetation","Albany Alluvial Vegetation","T4.1",286.0296,"EN_PP","EN","B1i_rod","PP"
"29","AZd2","Azonal Vegetation","Namaqualand Seashore Vegetation","MT2.1",9.5168,"CR_PP","CR","B2i_rod","PP"
"30","AZd3","Azonal Vegetation","Cape Seashore Vegetation","MT2.1",215.2172,"LC_WP","LC","","WP"
"31","AZa2","Azonal Vegetation","Cape Lowland Alluvial Vegetation","T3.2",116.1724,"EN_NP","EN","B1i_rod, B1i_inv","NP"
